Neurons,Execution time ,Prediction time, By image
5,33.78,0.93,0.0001
10,35.35,0.86,0.0001
50,48.31,1.05,0.0001
128,76.15,1.27,0.0001
256,153.69,1.8,0.0002
512,357.12,4.64,0.0005
1024,874.9,10.02,0.001
1500,1416.12,8.48,0.0008
2048,2299.1,14.6,0.0015
2500,3179.14,17.76,0.0018
3000,4526.06,23.46,0.0023
3250,5348.22,27.99,0.0028
3500,5845.43,30.94,0.0031
3750,6502.89,36.1,0.0036
4096,7853.92,37.38,0.0037
4500,8240.41,39.22,0.0039
