,Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
0,5,2,5.05,0.23,0.0,0.08,0.31
1,5,3,6.34,0.18,0.0,0.07,0.36
2,10,2,4.83,0.16,0.0,0.06,0.45
3,10,3,5.91,0.15,0.0,0.06,0.53
