Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
250,2,10.89,0.21,0.0,0.07,0.64
250,4,17.25,0.73,0.0001,0.08,0.54
250,6,24.13,0.27,0.0,0.09,0.34
500,2,28.42,0.44,0.0,0.06,0.71
500,4,53.93,0.37,0.0,0.08,0.54
500,6,63.66,0.54,0.0001,0.09,0.36
