,Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
0,5,2,4.45,0.24,0.0,0.07,0.32
1,5,3,5.41,0.19,0.0,0.06,0.46
2,10,2,5.3,0.17,0.0,0.06,0.53
3,10,3,4.85,0.15,0.0,0.07,0.37
