Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
5,5,6.51,0.23,0.0,0.09,0.03
5,6,6.62,0.24,0.0,0.08,0.18
5,7,6.96,0.23,0.0,0.09,0.11
10,5,6.62,0.2,0.0,0.08,0.27
10,6,6.52,0.22,0.0,0.06,0.46
10,7,6.83,0.22,0.0,0.07,0.34
15,5,6.42,0.21,0.0,0.03,0.77
15,6,6.6,0.22,0.0,0.06,0.45
15,7,6.63,0.23,0.0,0.06,0.45
