Neurons,Execution time ,Prediction time, By image
5,34.42,1.02,0.0001
10,35.88,0.88,0.0001
50,48.32,1.02,0.0001
128,74.42,1.24,0.0001
256,154.06,2.12,0.0002
512,354.19,4.48,0.0004
1024,830.84,9.76,0.001
2048,2425.62,13.61,0.0014
4096,7870.8,38.33,0.0038
