Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.18,0.5,0.0001,0.09,0.19
5,4,20.22,0.49,0.0,0.09,0.14
5,6,22.16,0.56,0.0001,0.09,0.12
5,8,23.89,0.66,0.0001,0.09,0.16
10,2,18.31,0.53,0.0001,0.09,0.21
10,4,20.32,0.54,0.0001,0.09,0.18
10,6,22.07,0.65,0.0001,0.09,0.16
10,8,23.87,0.63,0.0001,0.09,0.08
50,2,18.92,0.53,0.0001,0.08,0.57
50,4,20.68,0.54,0.0001,0.09,0.3
50,6,22.42,0.69,0.0001,0.09,0.19
50,8,24.52,0.66,0.0001,0.09,0.17
128,2,19.36,0.49,0.0,0.07,0.56
128,4,21.65,0.59,0.0001,0.09,0.36
128,6,23.68,0.63,0.0001,0.09,0.13
128,8,25.64,0.65,0.0001,0.09,0.21
256,2,19.47,0.55,0.0001,0.07,0.56
256,4,22.09,0.63,0.0001,0.09,0.47
256,6,24.03,0.71,0.0001,0.09,0.34
256,8,26.19,0.72,0.0001,0.09,0.17
512,2,19.55,0.6,0.0001,0.06,0.66
512,4,21.9,0.67,0.0001,0.08,0.46
512,6,24.09,0.73,0.0001,0.09,0.27
512,8,26.46,0.73,0.0001,0.09,0.28
1024,2,19.28,0.53,0.0001,0.05,0.74
1024,4,21.52,0.6,0.0001,0.08,0.64
1024,6,23.41,0.68,0.0001,0.09,0.64
1024,8,25.26,0.76,0.0001,0.09,0.37
1500,2,19.27,0.61,0.0001,0.05,0.77
1500,4,21.51,0.82,0.0001,0.07,0.61
1500,6,23.46,0.69,0.0001,0.09,0.3
1500,8,25.38,0.73,0.0001,0.09,0.56
2048,2,19.81,0.56,0.0001,0.05,0.78
2048,4,22.21,0.62,0.0001,0.07,0.65
2048,6,24.24,0.68,0.0001,0.09,0.28
2048,8,26.36,0.91,0.0001,0.09,0.45
2500,2,19.84,0.61,0.0001,0.04,0.8
2500,4,22.22,0.61,0.0001,0.06,0.66
2500,6,24.33,0.46,0.0,0.09,0.55
2500,8,27.5,0.71,0.0001,0.09,0.48
3000,2,19.75,0.55,0.0001,0.04,0.79
3000,4,23.11,0.64,0.0001,0.06,0.62
3000,6,27.5,0.7,0.0001,0.09,0.46
3000,8,31.48,0.72,0.0001,0.09,0.35
3500,2,19.85,0.51,0.0001,0.04,0.79
3500,4,24.94,0.5,0.0,0.06,0.69
3500,6,30.33,0.68,0.0001,0.09,0.42
3500,8,36.48,0.76,0.0001,0.09,0.64
4000,2,20.01,0.55,0.0001,0.04,0.8
4000,4,26.1,0.67,0.0001,0.06,0.63
4000,6,32.48,0.71,0.0001,0.09,0.35
4000,8,39.42,0.76,0.0001,0.09,0.5
4500,2,20.54,0.59,0.0001,0.04,0.79
4500,4,29.27,0.65,0.0001,0.06,0.65
4500,6,38.82,0.69,0.0001,0.08,0.51
4500,8,48.05,0.73,0.0001,0.09,0.31
5000,2,21.23,0.59,0.0001,0.04,0.8
5000,4,31.46,0.64,0.0001,0.06,0.68
5000,6,42.37,0.68,0.0001,0.09,0.45
5000,8,53.96,0.75,0.0001,0.09,0.39
5500,2,23.35,0.57,0.0001,0.04,0.79
5500,4,37.43,0.67,0.0001,0.06,0.65
5500,6,52.15,0.71,0.0001,0.09,0.41
5500,8,66.86,0.74,0.0001,0.09,0.38
6000,2,23.96,0.58,0.0001,0.04,0.81
6000,4,39.74,0.65,0.0001,0.06,0.68
6000,6,55.73,0.89,0.0001,0.08,0.42
6000,8,71.67,0.76,0.0001,0.09,0.34
6500,2,25.31,0.56,0.0001,0.04,0.79
6500,4,43.72,0.64,0.0001,0.06,0.71
6500,6,62.17,0.71,0.0001,0.09,0.48
6500,8,80.25,0.84,0.0001,0.09,0.24
7000,2,25.61,0.61,0.0001,0.04,0.8
7000,4,45.13,0.68,0.0001,0.06,0.69
7000,6,64.47,0.72,0.0001,0.08,0.44
7000,8,82.76,0.89,0.0001,0.09,0.46
7500,2,27.73,0.53,0.0001,0.04,0.81
7500,4,51.96,0.67,0.0001,0.06,0.68
7500,6,75.39,0.8,0.0001,0.09,0.44
7500,8,97.53,1.04,0.0001,0.09,0.49
8000,2,28.22,0.54,0.0001,0.04,0.82
8000,4,52.41,0.68,0.0001,0.06,0.7
8000,6,75.25,0.84,0.0001,0.08,0.46
8000,8,97.58,1.1,0.0001,0.09,0.38
8500,2,31.23,0.59,0.0001,0.04,0.8
8500,4,62.51,0.68,0.0001,0.06,0.7
8500,6,91.1,0.98,0.0001,0.08,0.45
8500,8,120.07,1.25,0.0001,0.09,0.57
9000,2,31.61,0.59,0.0001,0.04,0.8
9000,4,62.21,0.69,0.0001,0.06,0.7
9000,6,91.4,1.02,0.0001,0.09,0.47
9000,8,122.27,1.35,0.0001,0.09,0.4
9500,2,34.49,0.55,0.0001,0.04,0.8
9500,4,71.73,0.74,0.0001,0.06,0.71
9500,6,106.18,1.13,0.0001,0.08,0.44
9500,8,143.13,1.5,0.0002,0.09,0.38
10000,2,34.76,0.58,0.0001,0.04,0.81
10000,4,71.29,0.8,0.0001,0.06,0.71
10000,6,106.9,1.21,0.0001,0.08,0.37
10000,8,143.18,1.61,0.0002,0.09,0.43
