Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.16,0.53,0.0001,0.09,0.17
5,4,20.25,0.52,0.0001,0.09,0.12
5,6,22.12,0.6,0.0001,0.09,0.08
5,8,23.81,0.62,0.0001,0.09,0.11
10,2,18.36,0.54,0.0001,0.09,0.26
10,4,20.35,0.56,0.0001,0.09,0.14
10,6,22.02,0.63,0.0001,0.09,0.1
10,8,23.86,0.69,0.0001,0.09,0.14
50,2,18.79,0.44,0.0,0.07,0.51
50,4,20.82,0.58,0.0001,0.09,0.24
50,6,22.61,0.65,0.0001,0.09,0.12
50,8,24.53,0.67,0.0001,0.09,0.16
128,2,19.29,0.58,0.0001,0.07,0.63
128,4,21.48,0.59,0.0001,0.09,0.34
128,6,23.44,0.63,0.0001,0.09,0.1
128,8,25.31,0.68,0.0001,0.09,0.14
256,2,19.42,0.6,0.0001,0.06,0.65
256,4,22.12,0.64,0.0001,0.09,0.4
256,6,24.14,0.69,0.0001,0.09,0.22
256,8,26.28,0.73,0.0001,0.09,0.14
512,2,19.55,0.56,0.0001,0.06,0.71
512,4,22.0,0.62,0.0001,0.08,0.54
512,6,24.14,0.71,0.0001,0.09,0.29
512,8,26.46,0.75,0.0001,0.09,0.34
1024,2,19.29,0.51,0.0001,0.05,0.73
1024,4,21.52,0.66,0.0001,0.08,0.63
1024,6,23.47,0.73,0.0001,0.09,0.4
1024,8,25.29,0.77,0.0001,0.09,0.44
1500,2,19.24,0.58,0.0001,0.05,0.76
1500,4,21.52,0.81,0.0001,0.07,0.61
1500,6,23.53,0.71,0.0001,0.09,0.44
1500,8,25.39,0.73,0.0001,0.09,0.39
2048,2,19.76,0.58,0.0001,0.05,0.77
2048,4,22.12,0.66,0.0001,0.07,0.68
2048,6,24.28,0.69,0.0001,0.09,0.43
2048,8,26.37,0.91,0.0001,0.09,0.38
2500,2,19.84,0.52,0.0001,0.05,0.77
2500,4,22.25,0.64,0.0001,0.07,0.66
2500,6,25.18,0.69,0.0001,0.09,0.53
2500,8,28.64,0.74,0.0001,0.09,0.42
3000,2,19.77,0.57,0.0001,0.04,0.79
3000,4,23.11,0.65,0.0001,0.07,0.67
3000,6,27.49,0.71,0.0001,0.09,0.47
3000,8,31.4,0.72,0.0001,0.09,0.51
3500,2,19.76,0.48,0.0,0.04,0.78
3500,4,24.91,0.64,0.0001,0.06,0.67
3500,6,30.21,0.68,0.0001,0.08,0.36
3500,8,36.29,0.73,0.0001,0.09,0.41
4000,2,19.98,0.58,0.0001,0.04,0.8
4000,4,26.02,0.58,0.0001,0.06,0.69
4000,6,32.36,0.68,0.0001,0.08,0.4
4000,8,39.29,0.72,0.0001,0.09,0.34
4500,2,20.62,0.55,0.0001,0.04,0.79
4500,4,29.23,0.65,0.0001,0.06,0.63
4500,6,38.71,0.69,0.0001,0.09,0.56
4500,8,47.87,0.75,0.0001,0.09,0.57
5000,2,21.25,0.55,0.0001,0.04,0.79
5000,4,31.44,0.64,0.0001,0.06,0.65
5000,6,42.21,0.73,0.0001,0.08,0.43
5000,8,53.78,0.75,0.0001,0.09,0.31
5500,2,23.29,0.59,0.0001,0.04,0.81
5500,4,37.41,0.62,0.0001,0.06,0.69
5500,6,51.89,0.69,0.0001,0.09,0.4
5500,8,66.61,0.77,0.0001,0.09,0.32
6000,2,23.93,0.56,0.0001,0.04,0.8
6000,4,39.74,0.66,0.0001,0.06,0.68
6000,6,55.59,0.89,0.0001,0.08,0.36
6000,8,71.49,0.76,0.0001,0.09,0.47
6500,2,25.23,0.57,0.0001,0.04,0.79
6500,4,43.6,0.66,0.0001,0.07,0.66
6500,6,61.89,0.72,0.0001,0.08,0.36
6500,8,80.15,0.81,0.0001,0.09,0.51
7000,2,25.64,0.54,0.0001,0.04,0.81
7000,4,45.04,0.64,0.0001,0.06,0.7
7000,6,64.33,0.72,0.0001,0.08,0.43
7000,8,82.47,0.89,0.0001,0.09,0.44
7500,2,27.74,0.57,0.0001,0.04,0.8
7500,4,51.7,0.67,0.0001,0.06,0.71
7500,6,75.09,0.78,0.0001,0.08,0.41
7500,8,97.41,1.03,0.0001,0.09,0.34
8000,2,28.17,0.59,0.0001,0.04,0.81
8000,4,52.42,0.63,0.0001,0.06,0.69
8000,6,75.54,0.84,0.0001,0.09,0.46
8000,8,97.72,1.1,0.0001,0.09,0.4
8500,2,31.25,0.59,0.0001,0.04,0.8
8500,4,62.77,0.69,0.0001,0.06,0.72
8500,6,90.65,0.95,0.0001,0.08,0.46
8500,8,120.81,1.23,0.0001,0.09,0.37
9000,2,31.55,0.51,0.0001,0.04,0.79
9000,4,62.26,0.69,0.0001,0.06,0.68
9000,6,91.17,1.03,0.0001,0.08,0.47
9000,8,121.92,1.32,0.0001,0.09,0.54
9500,2,34.56,0.59,0.0001,0.04,0.81
9500,4,71.79,0.76,0.0001,0.06,0.7
9500,6,106.41,1.14,0.0001,0.08,0.47
9500,8,143.02,1.48,0.0001,0.09,0.46
10000,2,34.68,0.55,0.0001,0.04,0.81
10000,4,71.24,0.82,0.0001,0.06,0.67
10000,6,106.69,1.22,0.0001,0.08,0.49
10000,8,143.13,1.58,0.0002,0.09,0.27
