Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.35,2.97,0.0003,0.08,0.2
10,17.66,0.4,0.0,0.09,0.55
50,18.15,0.45,0.0,0.07,0.63
128,18.53,0.42,0.0,0.06,0.69
256,18.72,0.47,0.0,0.07,0.67
512,19.04,0.43,0.0,0.08,0.59
1024,18.6,0.48,0.0,0.08,0.58
1500,18.63,0.52,0.0001,0.03,0.86
2048,19.14,0.5,0.0001,0.09,0.56
2500,19.1,0.52,0.0001,0.06,0.68
3000,19.14,0.49,0.0,0.03,0.85
3250,19.15,0.45,0.0,0.03,0.85
3500,19.12,0.5,0.0001,0.06,0.68
3750,19.15,0.47,0.0,0.07,0.66
4096,19.52,0.53,0.0001,0.03,0.86
4500,19.95,0.52,0.0001,0.11,0.47
