Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.12,0.57,0.0001,0.09,0.2
5,4,20.22,0.63,0.0001,0.09,0.19
5,6,22.28,0.55,0.0001,0.09,0.19
5,8,23.9,0.66,0.0001,0.09,0.11
10,2,18.43,0.54,0.0001,0.09,0.19
10,4,20.41,0.53,0.0001,0.09,0.17
10,6,22.16,0.67,0.0001,0.09,0.12
10,8,23.96,0.68,0.0001,0.09,0.14
50,2,18.84,0.53,0.0001,0.07,0.5
50,4,20.85,0.57,0.0001,0.09,0.24
50,6,22.6,0.64,0.0001,0.09,0.13
50,8,24.58,0.69,0.0001,0.09,0.13
128,2,19.3,0.56,0.0001,0.07,0.52
128,4,21.52,0.66,0.0001,0.09,0.25
128,6,23.49,0.69,0.0001,0.09,0.13
128,8,25.39,0.67,0.0001,0.09,0.21
256,2,19.55,0.5,0.0001,0.06,0.68
256,4,22.16,0.62,0.0001,0.08,0.37
256,6,24.23,0.69,0.0001,0.09,0.15
256,8,26.41,0.74,0.0001,0.09,0.28
512,2,19.57,0.55,0.0001,0.05,0.74
512,4,22.05,0.63,0.0001,0.08,0.49
512,6,24.2,0.71,0.0001,0.09,0.35
512,8,26.64,0.75,0.0001,0.09,0.25
1024,2,19.35,0.57,0.0001,0.05,0.73
1024,4,21.57,0.6,0.0001,0.08,0.6
1024,6,23.53,0.72,0.0001,0.09,0.49
1024,8,25.44,0.75,0.0001,0.09,0.39
1500,2,19.24,0.57,0.0001,0.05,0.77
1500,4,21.51,0.86,0.0001,0.07,0.67
1500,6,23.59,0.72,0.0001,0.09,0.45
1500,8,25.51,0.75,0.0001,0.09,0.52
2048,2,19.79,0.64,0.0001,0.05,0.77
2048,4,22.04,0.65,0.0001,0.06,0.65
2048,6,24.26,0.68,0.0001,0.09,0.46
2048,8,26.41,0.91,0.0001,0.09,0.45
2500,2,19.84,0.62,0.0001,0.04,0.77
2500,4,22.22,0.65,0.0001,0.07,0.65
2500,6,25.22,0.7,0.0001,0.09,0.58
2500,8,28.66,0.78,0.0001,0.09,0.55
3000,2,19.77,0.58,0.0001,0.04,0.78
3000,4,23.18,0.65,0.0001,0.06,0.67
3000,6,27.5,0.71,0.0001,0.09,0.44
3000,8,31.56,0.73,0.0001,0.09,0.46
3500,2,19.89,0.47,0.0,0.04,0.78
3500,4,24.9,0.64,0.0001,0.07,0.66
3500,6,30.24,0.72,0.0001,0.09,0.46
3500,8,36.34,0.73,0.0001,0.09,0.35
4000,2,19.99,0.59,0.0001,0.04,0.78
4000,4,26.09,0.62,0.0001,0.06,0.68
4000,6,32.43,0.68,0.0001,0.09,0.38
4000,8,39.43,0.73,0.0001,0.09,0.39
4500,2,20.6,0.6,0.0001,0.04,0.8
4500,4,29.22,0.65,0.0001,0.06,0.69
4500,6,38.76,0.68,0.0001,0.08,0.28
4500,8,48.02,0.75,0.0001,0.09,0.46
5000,2,21.3,0.56,0.0001,0.04,0.79
5000,4,31.47,0.62,0.0001,0.06,0.65
5000,6,42.37,0.72,0.0001,0.09,0.5
5000,8,53.94,0.73,0.0001,0.09,0.53
5500,2,23.32,0.58,0.0001,0.04,0.8
5500,4,37.44,0.66,0.0001,0.06,0.7
5500,6,52.25,0.68,0.0001,0.08,0.35
5500,8,66.82,0.75,0.0001,0.09,0.41
6000,2,23.93,0.61,0.0001,0.04,0.79
6000,4,39.74,0.66,0.0001,0.06,0.69
6000,6,55.69,0.87,0.0001,0.08,0.44
6000,8,71.66,0.76,0.0001,0.09,0.47
6500,2,25.27,0.61,0.0001,0.04,0.8
6500,4,43.63,0.67,0.0001,0.06,0.69
6500,6,62.12,0.71,0.0001,0.09,0.46
6500,8,80.35,0.82,0.0001,0.09,0.44
7000,2,25.7,0.51,0.0001,0.04,0.81
7000,4,45.19,0.68,0.0001,0.06,0.67
7000,6,64.5,0.74,0.0001,0.09,0.35
7000,8,82.42,0.9,0.0001,0.09,0.28
7500,2,27.69,0.61,0.0001,0.04,0.79
7500,4,51.77,0.67,0.0001,0.06,0.7
7500,6,75.36,0.79,0.0001,0.08,0.53
7500,8,97.81,1.04,0.0001,0.09,0.49
8000,2,28.2,0.61,0.0001,0.04,0.81
8000,4,52.46,0.66,0.0001,0.06,0.72
8000,6,75.27,0.84,0.0001,0.08,0.44
8000,8,97.61,1.11,0.0001,0.09,0.38
8500,2,31.22,0.53,0.0001,0.04,0.81
8500,4,62.39,0.67,0.0001,0.06,0.71
8500,6,91.05,0.95,0.0001,0.09,0.42
8500,8,120.26,1.25,0.0001,0.09,0.35
9000,2,31.62,0.6,0.0001,0.04,0.81
9000,4,62.13,0.69,0.0001,0.06,0.71
9000,6,91.66,1.03,0.0001,0.08,0.37
9000,8,122.15,1.33,0.0001,0.09,0.48
9500,2,34.59,0.59,0.0001,0.04,0.81
9500,4,71.74,0.74,0.0001,0.06,0.71
9500,6,106.67,1.14,0.0001,0.08,0.43
9500,8,143.32,1.49,0.0001,0.09,0.53
10000,2,34.84,0.61,0.0001,0.04,0.8
10000,4,71.42,0.81,0.0001,0.06,0.73
10000,6,106.94,1.21,0.0001,0.09,0.49
10000,8,143.35,1.6,0.0002,0.09,0.43
