Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.39,2.95,0.0003,0.07,0.37
10,17.77,0.42,0.0,0.06,0.56
50,18.39,0.5,0.0,0.07,0.64
128,18.86,0.45,0.0,0.1,0.48
256,18.99,0.51,0.0001,0.09,0.54
512,19.07,0.54,0.0001,0.03,0.84
1024,18.8,0.53,0.0001,0.07,0.64
1500,18.68,0.45,0.0,0.06,0.67
2048,19.29,0.49,0.0,0.09,0.56
2500,19.3,0.49,0.0,0.09,0.56
3000,19.28,0.52,0.0001,0.05,0.75
3250,19.33,0.45,0.0,0.03,0.84
3500,19.27,0.48,0.0,0.1,0.48
3750,19.47,0.44,0.0,0.05,0.76
4096,19.39,0.42,0.0,0.06,0.69
4500,20.08,0.5,0.0001,0.08,0.58
