Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
5,2,18.41,0.5,0.0001,0.08,0.18
5,4,19.6,0.48,0.0,0.07,0.4
5,6,21.56,0.61,0.0001,0.08,0.27
5,8,23.31,0.64,0.0001,0.09,0.18
10,2,17.66,0.41,0.0,0.06,0.49
10,4,19.74,0.52,0.0001,0.09,0.35
10,6,21.48,0.62,0.0001,0.07,0.32
10,8,23.28,0.61,0.0001,0.07,0.45
50,2,18.27,0.51,0.0001,0.11,0.43
50,4,20.26,0.53,0.0001,0.07,0.58
50,6,21.97,0.6,0.0001,0.04,0.75
50,8,24.0,0.63,0.0001,0.07,0.45
128,2,18.74,0.47,0.0,0.09,0.56
128,4,21.05,0.53,0.0001,0.09,0.52
128,6,22.92,0.51,0.0001,0.05,0.66
128,8,24.86,0.67,0.0001,0.05,0.66
256,2,18.95,0.47,0.0,0.11,0.46
256,4,21.47,0.58,0.0001,0.1,0.48
256,6,23.6,0.67,0.0001,0.03,0.83
256,8,25.68,0.71,0.0001,0.03,0.82
512,2,18.98,0.54,0.0001,0.09,0.55
512,4,21.33,0.59,0.0001,0.18,0.1
512,6,23.58,0.66,0.0001,0.03,0.84
512,8,25.97,0.71,0.0001,0.02,0.85
1024,2,18.67,0.53,0.0001,0.15,0.26
1024,4,21.16,0.62,0.0001,0.05,0.72
1024,6,22.87,0.67,0.0001,0.03,0.84
1024,8,24.95,0.69,0.0001,0.02,0.86
1500,2,18.63,0.47,0.0,0.11,0.47
1500,4,21.12,0.77,0.0001,0.07,0.65
1500,6,23.02,0.65,0.0001,0.02,0.85
1500,8,24.91,0.7,0.0001,0.02,0.87
2048,2,19.3,0.46,0.0,0.12,0.38
2048,4,21.53,0.58,0.0001,0.16,0.2
2048,6,23.83,0.68,0.0001,0.02,0.86
2048,8,26.12,0.7,0.0001,0.02,0.86
2500,2,19.24,0.51,0.0001,0.12,0.38
2500,4,21.54,0.57,0.0001,0.07,0.65
2500,6,24.63,0.65,0.0001,0.02,0.86
2500,8,28.0,0.74,0.0001,0.02,0.87
3000,2,19.28,0.54,0.0001,0.12,0.42
3000,4,22.55,0.63,0.0001,0.14,0.29
3000,6,26.66,0.67,0.0001,0.02,0.86
3000,8,30.89,0.72,0.0001,0.02,0.88
3500,2,19.26,0.5,0.0,0.1,0.48
3500,4,24.21,0.59,0.0001,0.1,0.49
3500,6,29.59,0.66,0.0001,0.02,0.86
3500,8,35.54,0.7,0.0001,0.02,0.88
4000,2,19.22,0.54,0.0001,0.09,0.54
4000,4,25.4,0.59,0.0001,0.18,0.1
4000,6,31.8,0.67,0.0001,0.02,0.87
4000,8,38.67,0.72,0.0001,0.03,0.81
4500,2,20.02,0.55,0.0001,0.16,0.2
4500,4,28.59,0.56,0.0001,0.08,0.59
4500,6,37.91,0.66,0.0001,0.02,0.88
4500,8,47.06,0.72,0.0001,0.02,0.86
5000,2,20.75,0.53,0.0001,0.16,0.2
5000,4,30.85,0.61,0.0001,0.12,0.41
5000,6,41.52,0.68,0.0001,0.02,0.87
5000,8,53.05,0.71,0.0001,0.02,0.87
5500,2,22.6,0.51,0.0001,0.1,0.48
5500,4,36.66,0.57,0.0001,0.12,0.39
5500,6,51.27,0.67,0.0001,0.18,0.1
5500,8,65.88,0.72,0.0001,0.02,0.88
6000,2,23.22,0.55,0.0001,0.09,0.54
6000,4,39.03,0.61,0.0001,0.11,0.45
6000,6,55.03,0.67,0.0001,0.18,0.1
6000,8,70.66,0.75,0.0001,0.02,0.88
6500,2,24.5,0.55,0.0001,0.14,0.28
6500,4,43.04,0.62,0.0001,0.18,0.1
6500,6,61.29,0.69,0.0001,0.02,0.87
6500,8,79.47,0.82,0.0001,0.18,0.1
7000,2,25.02,0.71,0.0001,0.16,0.2
7000,4,44.26,0.63,0.0001,0.12,0.38
7000,6,63.44,0.7,0.0001,0.02,0.87
7000,8,81.64,0.91,0.0001,0.02,0.84
7500,2,27.06,0.48,0.0,0.16,0.2
7500,4,50.85,0.6,0.0001,0.09,0.54
7500,6,74.34,0.77,0.0001,0.18,0.1
7500,8,96.38,1.04,0.0001,0.18,0.1
8000,2,27.45,0.55,0.0001,0.14,0.29
8000,4,51.72,0.62,0.0001,0.18,0.1
8000,6,74.61,0.83,0.0001,0.02,0.86
8000,8,96.81,1.11,0.0001,0.02,0.87
8500,2,30.5,0.4,0.0,0.12,0.38
8500,4,61.3,0.64,0.0001,0.09,0.54
8500,6,89.85,0.96,0.0001,0.02,0.86
8500,8,119.29,1.24,0.0001,0.18,0.1
9000,2,30.96,0.56,0.0001,0.16,0.2
9000,4,61.48,0.7,0.0001,0.18,0.1
9000,6,90.62,1.01,0.0001,0.18,0.1
9000,8,121.04,1.34,0.0001,0.02,0.88
9500,2,33.65,0.48,0.0,0.13,0.37
9500,4,70.16,0.74,0.0001,0.16,0.2
9500,6,105.77,1.14,0.0001,0.18,0.1
9500,8,142.22,1.53,0.0002,0.02,0.89
10000,2,34.06,0.54,0.0001,0.18,0.1
10000,4,70.47,0.8,0.0001,0.12,0.38
10000,6,105.77,1.21,0.0001,0.18,0.1
10000,8,142.34,1.61,0.0002,0.18,0.1
