Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.16,0.54,0.0001,0.09,0.15
5,4,20.2,0.61,0.0001,0.09,0.11
5,6,21.98,0.54,0.0001,0.09,0.12
5,8,23.73,0.66,0.0001,0.09,0.16
10,2,18.36,0.49,0.0,0.09,0.19
10,4,20.28,0.54,0.0001,0.09,0.1
10,6,22.0,0.62,0.0001,0.09,0.11
10,8,23.79,0.66,0.0001,0.09,0.14
50,2,18.8,0.48,0.0,0.08,0.49
50,4,20.67,0.58,0.0001,0.09,0.16
50,6,22.47,0.62,0.0001,0.09,0.2
50,8,24.46,0.65,0.0001,0.09,0.22
128,2,19.27,0.55,0.0001,0.07,0.49
128,4,21.46,0.55,0.0001,0.09,0.23
128,6,23.35,0.67,0.0001,0.09,0.29
128,8,25.16,0.68,0.0001,0.09,0.2
256,2,19.38,0.55,0.0001,0.07,0.62
256,4,22.11,0.67,0.0001,0.08,0.46
256,6,24.04,0.71,0.0001,0.09,0.39
256,8,26.12,0.76,0.0001,0.09,0.21
512,2,19.46,0.62,0.0001,0.06,0.73
512,4,21.88,0.66,0.0001,0.08,0.48
512,6,23.99,0.7,0.0001,0.09,0.33
512,8,26.44,0.74,0.0001,0.09,0.33
1024,2,19.24,0.59,0.0001,0.05,0.77
1024,4,21.4,0.66,0.0001,0.07,0.59
1024,6,23.46,0.69,0.0001,0.09,0.47
1024,8,25.26,0.75,0.0001,0.09,0.38
1500,2,19.21,0.6,0.0001,0.05,0.77
1500,4,21.48,0.69,0.0001,0.07,0.66
1500,6,23.49,0.67,0.0001,0.09,0.45
1500,8,25.33,0.73,0.0001,0.09,0.38
2048,2,19.71,0.58,0.0001,0.05,0.78
2048,4,22.0,0.65,0.0001,0.07,0.66
2048,6,24.23,0.69,0.0001,0.09,0.4
2048,8,26.38,0.94,0.0001,0.09,0.32
2500,2,19.79,0.62,0.0001,0.05,0.78
2500,4,22.18,0.61,0.0001,0.07,0.66
2500,6,25.17,0.68,0.0001,0.08,0.43
2500,8,28.57,0.72,0.0001,0.09,0.31
3000,2,19.67,0.61,0.0001,0.04,0.78
3000,4,23.13,0.65,0.0001,0.07,0.66
3000,6,27.42,0.69,0.0001,0.09,0.34
3000,8,31.35,0.72,0.0001,0.09,0.44
3500,2,19.72,0.57,0.0001,0.04,0.78
3500,4,24.84,0.59,0.0001,0.06,0.63
3500,6,30.16,0.68,0.0001,0.09,0.41
3500,8,36.18,0.73,0.0001,0.09,0.52
4000,2,19.96,0.6,0.0001,0.04,0.79
4000,4,26.03,0.57,0.0001,0.06,0.66
4000,6,32.32,0.71,0.0001,0.09,0.41
4000,8,39.25,0.74,0.0001,0.09,0.61
4500,2,20.55,0.6,0.0001,0.04,0.79
4500,4,29.18,0.68,0.0001,0.07,0.71
4500,6,38.68,0.69,0.0001,0.09,0.44
4500,8,47.86,0.74,0.0001,0.09,0.57
5000,2,21.18,0.54,0.0001,0.04,0.79
5000,4,31.38,0.64,0.0001,0.06,0.7
5000,6,42.33,0.69,0.0001,0.09,0.41
5000,8,53.82,0.78,0.0001,0.09,0.47
5500,2,23.24,0.59,0.0001,0.04,0.79
5500,4,37.36,0.65,0.0001,0.06,0.69
5500,6,52.09,0.72,0.0001,0.09,0.41
5500,8,66.64,0.75,0.0001,0.09,0.36
6000,2,23.87,0.56,0.0001,0.04,0.79
6000,4,39.6,0.62,0.0001,0.06,0.69
6000,6,55.59,0.88,0.0001,0.08,0.42
6000,8,71.42,0.75,0.0001,0.09,0.53
6500,2,25.21,0.6,0.0001,0.04,0.82
6500,4,43.6,0.65,0.0001,0.06,0.7
6500,6,62.0,0.71,0.0001,0.08,0.44
6500,8,80.16,0.84,0.0001,0.09,0.41
7000,2,25.67,0.58,0.0001,0.04,0.82
7000,4,44.96,0.64,0.0001,0.06,0.7
7000,6,64.45,0.72,0.0001,0.08,0.34
7000,8,82.6,0.91,0.0001,0.09,0.32
7500,2,27.62,0.57,0.0001,0.04,0.81
7500,4,51.65,0.62,0.0001,0.06,0.71
7500,6,75.19,0.79,0.0001,0.08,0.38
7500,8,97.14,1.03,0.0001,0.09,0.44
8000,2,28.18,0.57,0.0001,0.04,0.79
8000,4,52.48,0.69,0.0001,0.06,0.69
8000,6,75.53,0.84,0.0001,0.08,0.39
8000,8,97.89,1.1,0.0001,0.09,0.32
8500,2,30.99,0.55,0.0001,0.04,0.79
8500,4,62.36,0.69,0.0001,0.06,0.71
8500,6,90.88,0.98,0.0001,0.08,0.43
8500,8,120.4,1.24,0.0001,0.09,0.58
9000,2,31.54,0.58,0.0001,0.04,0.79
9000,4,62.26,0.68,0.0001,0.06,0.71
9000,6,91.33,1.02,0.0001,0.08,0.36
9000,8,121.87,1.36,0.0001,0.09,0.46
9500,2,34.34,0.59,0.0001,0.04,0.81
9500,4,71.62,0.76,0.0001,0.06,0.7
9500,6,106.05,1.13,0.0001,0.08,0.44
9500,8,142.75,1.49,0.0001,0.09,0.37
10000,2,34.68,0.57,0.0001,0.04,0.79
10000,4,71.2,0.77,0.0001,0.06,0.72
10000,6,106.78,1.22,0.0001,0.08,0.48
10000,8,143.19,1.6,0.0002,0.09,0.51
