Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.24,0.48,0.0,0.09,0.11
5,4,20.32,0.58,0.0001,0.09,0.14
5,6,22.29,0.59,0.0001,0.09,0.15
5,8,24.09,0.71,0.0001,0.09,0.13
10,2,18.28,0.52,0.0001,0.08,0.27
10,4,20.49,0.59,0.0001,0.09,0.1
10,6,22.21,0.65,0.0001,0.09,0.13
10,8,23.97,0.66,0.0001,0.09,0.13
50,2,18.95,0.53,0.0001,0.08,0.43
50,4,20.97,0.52,0.0001,0.09,0.28
50,6,22.63,0.61,0.0001,0.09,0.14
50,8,24.63,0.71,0.0001,0.09,0.13
128,2,19.38,0.55,0.0001,0.07,0.55
128,4,21.55,0.57,0.0001,0.09,0.38
128,6,23.57,0.65,0.0001,0.09,0.27
128,8,25.51,0.7,0.0001,0.09,0.23
256,2,19.49,0.54,0.0001,0.07,0.58
256,4,22.3,0.65,0.0001,0.08,0.4
256,6,24.26,0.69,0.0001,0.09,0.26
256,8,26.35,0.73,0.0001,0.09,0.3
512,2,19.67,0.63,0.0001,0.06,0.71
512,4,22.09,0.66,0.0001,0.08,0.52
512,6,24.33,0.69,0.0001,0.09,0.37
512,8,26.7,0.76,0.0001,0.09,0.25
1024,2,19.33,0.59,0.0001,0.05,0.77
1024,4,21.58,0.63,0.0001,0.07,0.63
1024,6,23.54,0.71,0.0001,0.09,0.24
1024,8,25.38,0.75,0.0001,0.09,0.24
1500,2,19.34,0.53,0.0001,0.05,0.76
1500,4,21.62,0.85,0.0001,0.07,0.64
1500,6,23.59,0.7,0.0001,0.09,0.54
1500,8,25.58,0.74,0.0001,0.09,0.31
2048,2,19.93,0.52,0.0001,0.05,0.77
2048,4,22.26,0.67,0.0001,0.07,0.67
2048,6,24.42,0.71,0.0001,0.09,0.51
2048,8,26.5,0.94,0.0001,0.09,0.34
2500,2,19.9,0.5,0.0001,0.04,0.79
2500,4,22.35,0.65,0.0001,0.07,0.65
2500,6,25.27,0.7,0.0001,0.09,0.43
2500,8,28.72,0.76,0.0001,0.09,0.43
3000,2,19.84,0.56,0.0001,0.05,0.78
3000,4,23.26,0.66,0.0001,0.06,0.65
3000,6,27.63,0.68,0.0001,0.08,0.46
3000,8,31.56,0.7,0.0001,0.09,0.57
3500,2,19.88,0.6,0.0001,0.04,0.79
3500,4,25.0,0.61,0.0001,0.06,0.65
3500,6,30.31,0.69,0.0001,0.09,0.39
3500,8,36.44,0.75,0.0001,0.09,0.3
4000,2,20.08,0.57,0.0001,0.04,0.8
4000,4,26.14,0.68,0.0001,0.06,0.69
4000,6,32.5,0.68,0.0001,0.09,0.38
4000,8,39.5,0.72,0.0001,0.09,0.49
4500,2,20.69,0.52,0.0001,0.04,0.79
4500,4,29.38,0.63,0.0001,0.06,0.71
4500,6,38.81,0.7,0.0001,0.09,0.45
4500,8,48.06,0.76,0.0001,0.09,0.42
5000,2,21.29,0.56,0.0001,0.04,0.79
5000,4,31.48,0.6,0.0001,0.06,0.66
5000,6,42.45,0.71,0.0001,0.09,0.48
5000,8,54.0,0.78,0.0001,0.09,0.24
5500,2,23.4,0.56,0.0001,0.04,0.79
5500,4,37.47,0.6,0.0001,0.06,0.68
5500,6,52.16,0.71,0.0001,0.09,0.43
5500,8,66.87,0.76,0.0001,0.09,0.56
6000,2,23.93,0.57,0.0001,0.04,0.79
6000,4,39.8,0.65,0.0001,0.06,0.7
6000,6,55.73,0.92,0.0001,0.08,0.43
6000,8,71.6,0.76,0.0001,0.09,0.46
6500,2,25.4,0.56,0.0001,0.04,0.79
6500,4,43.88,0.6,0.0001,0.06,0.7
6500,6,62.15,0.71,0.0001,0.08,0.35
6500,8,80.48,0.82,0.0001,0.09,0.54
7000,2,25.82,0.62,0.0001,0.04,0.8
7000,4,45.05,0.65,0.0001,0.06,0.71
7000,6,64.38,0.72,0.0001,0.08,0.49
7000,8,82.45,0.89,0.0001,0.09,0.52
7500,2,27.79,0.55,0.0001,0.04,0.8
7500,4,51.87,0.69,0.0001,0.06,0.69
7500,6,75.33,0.78,0.0001,0.08,0.44
7500,8,97.98,1.04,0.0001,0.09,0.44
8000,2,28.25,0.46,0.0,0.04,0.8
8000,4,52.12,0.69,0.0001,0.06,0.72
8000,6,75.44,0.84,0.0001,0.08,0.38
8000,8,97.6,1.12,0.0001,0.09,0.55
8500,2,31.23,0.58,0.0001,0.04,0.8
8500,4,62.45,0.67,0.0001,0.06,0.69
8500,6,90.75,0.95,0.0001,0.09,0.46
8500,8,120.45,1.22,0.0001,0.09,0.49
9000,2,31.73,0.59,0.0001,0.04,0.8
9000,4,62.15,0.7,0.0001,0.06,0.7
9000,6,91.36,1.03,0.0001,0.08,0.44
9000,8,122.47,1.33,0.0001,0.09,0.55
9500,2,34.07,0.61,0.0001,0.04,0.79
9500,4,71.85,0.74,0.0001,0.06,0.7
9500,6,106.73,1.15,0.0001,0.08,0.46
9500,8,143.2,1.48,0.0001,0.09,0.38
10000,2,34.87,0.53,0.0001,0.04,0.8
10000,4,71.45,0.82,0.0001,0.06,0.69
10000,6,107.03,1.23,0.0001,0.09,0.44
10000,8,143.41,1.59,0.0002,0.09,0.48
