Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.24,2.99,0.0003,0.07,0.38
10,17.53,0.45,0.0,0.08,0.28
50,18.21,0.38,0.0,0.05,0.72
128,18.5,0.51,0.0001,0.11,0.45
256,18.69,0.52,0.0001,0.02,0.92
512,18.85,0.47,0.0,0.08,0.58
1024,18.59,0.49,0.0,0.05,0.76
1500,18.47,0.44,0.0,0.03,0.85
2048,19.05,0.48,0.0,0.05,0.77
2500,19.11,0.49,0.0,0.05,0.75
3000,19.02,0.54,0.0001,0.07,0.66
3250,19.04,0.47,0.0,0.05,0.74
3500,19.09,0.48,0.0,0.06,0.67
3750,19.19,0.49,0.0,0.07,0.65
4096,19.15,0.53,0.0001,0.07,0.65
4500,19.86,0.49,0.0,0.06,0.68
