Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.08,0.52,0.0001,0.09,0.18
5,4,20.31,0.59,0.0001,0.09,0.11
5,6,22.11,0.63,0.0001,0.09,0.13
5,8,23.93,0.64,0.0001,0.09,0.11
10,2,18.35,0.54,0.0001,0.09,0.17
10,4,20.46,0.54,0.0001,0.09,0.19
10,6,22.13,0.61,0.0001,0.09,0.16
10,8,23.95,0.68,0.0001,0.09,0.14
50,2,18.87,0.55,0.0001,0.08,0.54
50,4,20.78,0.57,0.0001,0.09,0.2
50,6,22.5,0.65,0.0001,0.09,0.12
50,8,24.56,0.67,0.0001,0.09,0.22
128,2,19.21,0.46,0.0,0.07,0.56
128,4,21.46,0.66,0.0001,0.09,0.27
128,6,23.45,0.62,0.0001,0.09,0.14
128,8,25.37,0.66,0.0001,0.09,0.14
256,2,19.43,0.48,0.0,0.06,0.66
256,4,22.05,0.66,0.0001,0.08,0.44
256,6,24.06,0.71,0.0001,0.09,0.31
256,8,26.24,0.74,0.0001,0.09,0.19
512,2,19.54,0.54,0.0001,0.06,0.69
512,4,21.99,0.65,0.0001,0.08,0.49
512,6,24.07,0.72,0.0001,0.09,0.21
512,8,26.63,0.75,0.0001,0.09,0.2
1024,2,19.24,0.56,0.0001,0.05,0.76
1024,4,21.45,0.62,0.0001,0.07,0.63
1024,6,23.42,0.72,0.0001,0.09,0.23
1024,8,25.35,0.74,0.0001,0.09,0.48
1500,2,19.24,0.5,0.0001,0.05,0.77
1500,4,21.47,0.82,0.0001,0.07,0.55
1500,6,23.6,0.69,0.0001,0.09,0.42
1500,8,25.42,0.74,0.0001,0.09,0.31
2048,2,19.72,0.61,0.0001,0.05,0.78
2048,4,22.09,0.64,0.0001,0.07,0.63
2048,6,24.33,0.68,0.0001,0.09,0.47
2048,8,26.38,0.9,0.0001,0.09,0.49
2500,2,19.71,0.59,0.0001,0.05,0.78
2500,4,22.23,0.65,0.0001,0.07,0.68
2500,6,25.15,0.68,0.0001,0.09,0.5
2500,8,28.54,0.76,0.0001,0.09,0.29
3000,2,19.69,0.6,0.0001,0.05,0.77
3000,4,23.1,0.63,0.0001,0.06,0.69
3000,6,27.4,0.69,0.0001,0.09,0.37
3000,8,31.41,0.75,0.0001,0.09,0.2
3500,2,19.77,0.57,0.0001,0.04,0.79
3500,4,24.82,0.61,0.0001,0.06,0.67
3500,6,30.24,0.7,0.0001,0.09,0.31
3500,8,36.29,0.76,0.0001,0.09,0.47
4000,2,19.99,0.58,0.0001,0.04,0.79
4000,4,26.09,0.58,0.0001,0.06,0.67
4000,6,32.46,0.71,0.0001,0.08,0.38
4000,8,39.32,0.76,0.0001,0.09,0.31
4500,2,20.47,0.58,0.0001,0.04,0.8
4500,4,29.16,0.64,0.0001,0.07,0.64
4500,6,38.6,0.71,0.0001,0.09,0.47
4500,8,47.88,0.74,0.0001,0.09,0.31
5000,2,21.19,0.55,0.0001,0.04,0.8
5000,4,31.35,0.61,0.0001,0.06,0.69
5000,6,42.24,0.68,0.0001,0.09,0.46
5000,8,53.74,0.74,0.0001,0.09,0.49
5500,2,23.17,0.63,0.0001,0.04,0.81
5500,4,37.35,0.59,0.0001,0.06,0.66
5500,6,51.94,0.71,0.0001,0.09,0.43
5500,8,66.49,0.74,0.0001,0.09,0.34
6000,2,23.86,0.58,0.0001,0.04,0.79
6000,4,39.56,0.67,0.0001,0.06,0.68
6000,6,55.41,0.88,0.0001,0.09,0.41
6000,8,71.44,0.79,0.0001,0.09,0.34
6500,2,25.16,0.58,0.0001,0.04,0.8
6500,4,43.5,0.63,0.0001,0.06,0.69
6500,6,61.85,0.72,0.0001,0.09,0.46
6500,8,80.06,0.82,0.0001,0.09,0.37
7000,2,25.62,0.57,0.0001,0.04,0.79
7000,4,45.13,0.66,0.0001,0.06,0.7
7000,6,64.28,0.73,0.0001,0.09,0.37
7000,8,82.29,0.91,0.0001,0.09,0.3
7500,2,27.73,0.54,0.0001,0.04,0.82
7500,4,51.73,0.67,0.0001,0.06,0.71
7500,6,75.1,0.78,0.0001,0.08,0.43
7500,8,97.21,1.04,0.0001,0.09,0.35
8000,2,28.11,0.54,0.0001,0.04,0.8
8000,4,52.37,0.67,0.0001,0.06,0.74
8000,6,75.09,0.85,0.0001,0.08,0.43
8000,8,97.69,1.1,0.0001,0.09,0.51
8500,2,31.11,0.49,0.0,0.04,0.8
8500,4,62.1,0.7,0.0001,0.06,0.69
8500,6,90.75,0.95,0.0001,0.08,0.39
8500,8,120.05,1.25,0.0001,0.09,0.4
9000,2,31.5,0.6,0.0001,0.04,0.8
9000,4,62.15,0.69,0.0001,0.06,0.71
9000,6,91.15,1.03,0.0001,0.08,0.43
9000,8,121.94,1.35,0.0001,0.09,0.42
9500,2,34.29,0.54,0.0001,0.04,0.79
9500,4,71.8,0.76,0.0001,0.06,0.7
9500,6,106.4,1.13,0.0001,0.08,0.46
9500,8,143.34,1.51,0.0002,0.09,0.48
10000,2,34.65,0.58,0.0001,0.04,0.8
10000,4,71.14,0.81,0.0001,0.06,0.69
10000,6,106.44,1.21,0.0001,0.08,0.42
10000,8,143.11,1.6,0.0002,0.09,0.44
