Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.51,3.05,0.0003,0.09,0.11
10,17.77,0.44,0.0,0.06,0.52
50,18.36,0.46,0.0,0.05,0.74
128,18.77,0.5,0.0,0.03,0.82
256,19.01,0.49,0.0,0.07,0.65
512,19.3,0.53,0.0001,0.09,0.55
1024,18.78,0.49,0.0,0.05,0.75
1500,18.67,0.52,0.0001,0.07,0.64
2048,19.26,0.47,0.0,0.07,0.66
2500,19.39,0.47,0.0,0.05,0.74
3000,19.34,0.47,0.0,0.05,0.77
3250,19.36,0.54,0.0001,0.07,0.67
3500,19.33,0.49,0.0,0.07,0.66
3750,19.32,0.48,0.0,0.11,0.47
4096,19.5,0.43,0.0,0.08,0.59
4500,20.04,0.51,0.0001,0.08,0.58
