Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
5,2,18.42,0.46,0.0,0.08,0.23
5,4,19.66,0.57,0.0001,0.09,0.1
5,6,21.49,0.57,0.0001,0.07,0.33
5,8,23.25,0.62,0.0001,0.08,0.2
10,2,17.67,0.51,0.0001,0.07,0.35
10,4,19.75,0.49,0.0,0.06,0.55
10,6,21.43,0.57,0.0001,0.07,0.41
10,8,23.24,0.65,0.0001,0.06,0.57
50,2,18.23,0.54,0.0001,0.09,0.52
50,4,20.11,0.52,0.0001,0.07,0.51
50,6,21.96,0.59,0.0001,0.05,0.63
50,8,23.92,0.69,0.0001,0.05,0.62
128,2,18.7,0.5,0.0001,0.09,0.55
128,4,20.95,0.57,0.0001,0.12,0.37
128,6,22.81,0.61,0.0001,0.04,0.76
128,8,24.79,0.66,0.0001,0.05,0.62
256,2,18.89,0.54,0.0001,0.13,0.37
256,4,21.46,0.6,0.0001,0.05,0.73
256,6,23.54,0.67,0.0001,0.04,0.69
256,8,25.68,0.69,0.0001,0.04,0.74
512,2,19.03,0.54,0.0001,0.14,0.3
512,4,21.29,0.57,0.0001,0.09,0.54
512,6,23.46,0.65,0.0001,0.03,0.82
512,8,25.92,0.7,0.0001,0.02,0.85
1024,2,18.66,0.52,0.0001,0.16,0.2
1024,4,21.09,0.6,0.0001,0.1,0.5
1024,6,22.84,0.69,0.0001,0.02,0.85
1024,8,24.76,0.69,0.0001,0.02,0.85
1500,2,18.68,0.55,0.0001,0.12,0.38
1500,4,21.07,0.73,0.0001,0.09,0.53
1500,6,23.0,0.66,0.0001,0.02,0.85
1500,8,24.78,0.73,0.0001,0.02,0.86
2048,2,19.15,0.55,0.0001,0.09,0.54
2048,4,21.44,0.55,0.0001,0.08,0.61
2048,6,23.74,0.66,0.0001,0.02,0.86
2048,8,25.94,0.72,0.0001,0.02,0.86
2500,2,19.28,0.51,0.0001,0.14,0.29
2500,4,21.55,0.6,0.0001,0.07,0.64
2500,6,24.55,0.67,0.0001,0.02,0.86
2500,8,27.99,0.71,0.0001,0.02,0.87
3000,2,19.22,0.51,0.0001,0.11,0.43
3000,4,22.48,0.6,0.0001,0.06,0.67
3000,6,26.62,0.7,0.0001,0.02,0.86
3000,8,30.78,0.72,0.0001,0.02,0.87
3500,2,19.23,0.48,0.0,0.12,0.38
3500,4,24.21,0.59,0.0001,0.08,0.58
3500,6,29.61,0.65,0.0001,0.02,0.87
3500,8,35.67,0.71,0.0001,0.02,0.87
4000,2,19.17,0.48,0.0,0.1,0.47
4000,4,25.39,0.57,0.0001,0.11,0.44
4000,6,31.78,0.67,0.0001,0.18,0.1
4000,8,38.81,0.72,0.0001,0.02,0.86
4500,2,20.0,0.53,0.0001,0.12,0.38
4500,4,28.6,0.61,0.0001,0.09,0.56
4500,6,38.0,0.68,0.0001,0.02,0.87
4500,8,47.12,0.72,0.0001,0.02,0.88
5000,2,20.7,0.54,0.0001,0.12,0.38
5000,4,30.87,0.55,0.0001,0.14,0.28
5000,6,41.62,0.66,0.0001,0.02,0.86
5000,8,53.34,0.7,0.0001,0.02,0.88
5500,2,22.58,0.5,0.0001,0.12,0.38
5500,4,36.71,0.54,0.0001,0.09,0.56
5500,6,51.46,0.67,0.0001,0.02,0.87
5500,8,66.07,0.72,0.0001,0.02,0.88
6000,2,23.19,0.52,0.0001,0.12,0.38
6000,4,39.03,0.63,0.0001,0.16,0.2
6000,6,55.08,0.66,0.0001,0.02,0.87
6000,8,70.81,0.74,0.0001,0.02,0.85
6500,2,24.59,0.56,0.0001,0.09,0.55
6500,4,43.1,0.63,0.0001,0.18,0.1
6500,6,61.33,0.66,0.0001,0.18,0.1
6500,8,79.55,0.82,0.0001,0.02,0.88
7000,2,25.11,0.67,0.0001,0.12,0.42
7000,4,44.38,0.63,0.0001,0.18,0.1
7000,6,63.56,0.69,0.0001,0.18,0.1
7000,8,81.62,0.9,0.0001,0.02,0.86
7500,2,27.07,0.52,0.0001,0.16,0.2
7500,4,51.17,0.61,0.0001,0.18,0.1
7500,6,74.65,0.77,0.0001,0.18,0.1
7500,8,96.31,1.06,0.0001,0.02,0.88
8000,2,27.48,0.55,0.0001,0.16,0.19
8000,4,51.68,0.65,0.0001,0.18,0.1
8000,6,74.79,0.83,0.0001,0.02,0.86
8000,8,97.2,1.13,0.0001,0.02,0.88
8500,2,30.38,0.51,0.0001,0.18,0.1
8500,4,61.79,0.65,0.0001,0.18,0.1
8500,6,90.07,0.95,0.0001,0.18,0.1
8500,8,119.47,1.24,0.0001,0.02,0.87
9000,2,30.97,0.55,0.0001,0.11,0.47
9000,4,61.5,0.67,0.0001,0.12,0.38
9000,6,90.63,1.02,0.0001,0.07,0.58
9000,8,121.25,1.35,0.0001,0.02,0.88
9500,2,33.71,0.54,0.0001,0.14,0.3
9500,4,70.89,0.74,0.0001,0.12,0.38
9500,6,105.85,1.14,0.0001,0.18,0.1
9500,8,142.47,1.49,0.0001,0.03,0.82
10000,2,34.0,0.54,0.0001,0.14,0.29
10000,4,70.62,0.8,0.0001,0.18,0.1
10000,6,106.13,1.23,0.0001,0.18,0.1
10000,8,142.86,1.63,0.0002,0.03,0.77
