Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.08,0.58,0.0001,0.09,0.12
5,4,20.08,0.58,0.0001,0.09,0.12
5,6,21.98,0.6,0.0001,0.09,0.12
5,8,23.74,0.7,0.0001,0.09,0.11
10,2,18.29,0.52,0.0001,0.09,0.24
10,4,20.33,0.56,0.0001,0.09,0.13
10,6,21.96,0.62,0.0001,0.09,0.17
10,8,23.78,0.63,0.0001,0.09,0.11
50,2,18.78,0.52,0.0001,0.08,0.48
50,4,20.68,0.57,0.0001,0.09,0.27
50,6,22.43,0.6,0.0001,0.09,0.11
50,8,24.36,0.63,0.0001,0.09,0.19
128,2,19.25,0.59,0.0001,0.08,0.5
128,4,21.43,0.61,0.0001,0.09,0.23
128,6,23.38,0.68,0.0001,0.09,0.28
128,8,25.24,0.66,0.0001,0.09,0.23
256,2,19.42,0.57,0.0001,0.06,0.63
256,4,22.1,0.65,0.0001,0.09,0.5
256,6,24.16,0.71,0.0001,0.09,0.37
256,8,26.3,0.73,0.0001,0.09,0.28
512,2,19.56,0.57,0.0001,0.06,0.67
512,4,22.0,0.62,0.0001,0.08,0.56
512,6,24.18,0.69,0.0001,0.09,0.43
512,8,26.54,0.75,0.0001,0.09,0.34
1024,2,19.21,0.46,0.0,0.05,0.76
1024,4,21.55,0.64,0.0001,0.07,0.58
1024,6,23.47,0.72,0.0001,0.09,0.42
1024,8,25.42,0.76,0.0001,0.09,0.33
1500,2,19.31,0.56,0.0001,0.05,0.77
1500,4,21.46,0.83,0.0001,0.07,0.61
1500,6,23.53,0.7,0.0001,0.09,0.34
1500,8,25.41,0.73,0.0001,0.09,0.29
2048,2,19.79,0.52,0.0001,0.05,0.77
2048,4,22.12,0.7,0.0001,0.07,0.68
2048,6,24.32,0.67,0.0001,0.09,0.36
2048,8,26.48,0.94,0.0001,0.09,0.38
2500,2,19.77,0.57,0.0001,0.04,0.8
2500,4,22.2,0.67,0.0001,0.07,0.64
2500,6,25.17,0.69,0.0001,0.09,0.39
2500,8,28.66,0.74,0.0001,0.09,0.37
3000,2,19.82,0.6,0.0001,0.04,0.78
3000,4,23.18,0.61,0.0001,0.06,0.66
3000,6,27.49,0.69,0.0001,0.09,0.42
3000,8,31.42,0.74,0.0001,0.09,0.3
3500,2,19.78,0.61,0.0001,0.04,0.79
3500,4,24.84,0.6,0.0001,0.07,0.69
3500,6,30.14,0.69,0.0001,0.09,0.51
3500,8,36.16,0.71,0.0001,0.09,0.38
4000,2,20.02,0.58,0.0001,0.04,0.79
4000,4,25.97,0.52,0.0001,0.06,0.69
4000,6,32.33,0.66,0.0001,0.09,0.47
4000,8,39.33,0.73,0.0001,0.09,0.46
4500,2,20.54,0.58,0.0001,0.04,0.79
4500,4,29.26,0.67,0.0001,0.06,0.68
4500,6,38.65,0.7,0.0001,0.09,0.51
4500,8,47.69,0.75,0.0001,0.09,0.45
5000,2,21.24,0.56,0.0001,0.04,0.8
5000,4,31.46,0.62,0.0001,0.06,0.68
5000,6,42.2,0.7,0.0001,0.09,0.39
5000,8,53.71,0.73,0.0001,0.09,0.32
5500,2,23.27,0.58,0.0001,0.04,0.8
5500,4,37.25,0.64,0.0001,0.06,0.68
5500,6,51.92,0.68,0.0001,0.09,0.43
5500,8,66.48,0.74,0.0001,0.09,0.28
6000,2,23.84,0.59,0.0001,0.04,0.79
6000,4,39.64,0.66,0.0001,0.06,0.66
6000,6,55.42,0.88,0.0001,0.08,0.5
6000,8,71.22,0.77,0.0001,0.09,0.28
6500,2,25.26,0.48,0.0,0.04,0.8
6500,4,43.79,0.63,0.0001,0.06,0.68
6500,6,62.02,0.72,0.0001,0.08,0.46
6500,8,80.24,0.83,0.0001,0.09,0.3
7000,2,25.66,0.57,0.0001,0.04,0.79
7000,4,44.95,0.67,0.0001,0.06,0.69
7000,6,64.24,0.74,0.0001,0.08,0.4
7000,8,82.4,0.91,0.0001,0.09,0.31
7500,2,27.7,0.52,0.0001,0.04,0.79
7500,4,51.63,0.66,0.0001,0.06,0.69
7500,6,75.06,0.77,0.0001,0.08,0.43
7500,8,97.27,1.05,0.0001,0.09,0.43
8000,2,28.15,0.58,0.0001,0.04,0.8
8000,4,52.39,0.65,0.0001,0.06,0.7
8000,6,75.33,0.85,0.0001,0.09,0.44
8000,8,97.62,1.11,0.0001,0.09,0.37
8500,2,31.1,0.6,0.0001,0.04,0.81
8500,4,62.08,0.69,0.0001,0.06,0.69
8500,6,90.6,0.96,0.0001,0.09,0.54
8500,8,120.5,1.23,0.0001,0.09,0.47
9000,2,31.5,0.56,0.0001,0.04,0.81
9000,4,61.96,0.69,0.0001,0.06,0.7
9000,6,90.93,1.03,0.0001,0.08,0.43
9000,8,121.73,1.34,0.0001,0.09,0.54
9500,2,34.74,0.59,0.0001,0.04,0.8
9500,4,71.51,0.74,0.0001,0.06,0.69
9500,6,106.76,1.14,0.0001,0.08,0.44
9500,8,142.77,1.5,0.0002,0.09,0.46
10000,2,34.74,0.58,0.0001,0.04,0.8
10000,4,71.09,0.81,0.0001,0.06,0.71
10000,6,106.83,1.21,0.0001,0.08,0.46
10000,8,143.28,1.6,0.0002,0.09,0.28
