Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
5,2,18.39,0.49,0.0,0.09,0.15
5,4,19.64,0.57,0.0001,0.08,0.18
5,6,21.48,0.57,0.0001,0.08,0.21
5,8,23.3,0.62,0.0001,0.08,0.2
10,2,17.77,0.44,0.0,0.08,0.2
10,4,19.72,0.5,0.0,0.08,0.2
10,6,21.52,0.57,0.0001,0.06,0.51
10,8,23.29,0.66,0.0001,0.07,0.38
50,2,18.3,0.49,0.0,0.14,0.31
50,4,20.33,0.55,0.0001,0.02,0.9
50,6,22.05,0.61,0.0001,0.04,0.7
50,8,23.98,0.67,0.0001,0.03,0.8
128,2,18.73,0.53,0.0001,0.06,0.72
128,4,21.06,0.56,0.0001,0.07,0.6
128,6,22.87,0.57,0.0001,0.01,0.91
128,8,24.81,0.68,0.0001,0.03,0.76
256,2,18.95,0.57,0.0001,0.09,0.54
256,4,21.59,0.6,0.0001,0.05,0.74
256,6,23.55,0.67,0.0001,0.01,0.92
256,8,25.73,0.69,0.0001,0.04,0.66
512,2,18.95,0.51,0.0001,0.08,0.59
512,4,21.42,0.61,0.0001,0.06,0.68
512,6,23.66,0.67,0.0001,0.01,0.94
512,8,25.96,0.72,0.0001,0.03,0.76
1024,2,18.65,0.55,0.0001,0.03,0.82
1024,4,21.09,0.59,0.0001,0.03,0.85
1024,6,22.94,0.67,0.0001,0.02,0.85
1024,8,24.88,0.71,0.0001,0.01,0.96
1500,2,18.76,0.52,0.0001,0.09,0.57
1500,4,21.27,0.59,0.0001,0.03,0.86
1500,6,22.96,0.65,0.0001,0.02,0.86
1500,8,24.84,0.7,0.0001,0.01,0.96
2048,2,19.23,0.47,0.0,0.08,0.59
2048,4,21.5,0.57,0.0001,0.01,0.95
2048,6,23.78,0.66,0.0001,0.01,0.96
2048,8,26.17,0.72,0.0001,0.01,0.96
2500,2,19.28,0.53,0.0001,0.12,0.38
2500,4,21.59,0.62,0.0001,0.03,0.87
2500,6,24.61,0.63,0.0001,0.01,0.96
2500,8,28.08,0.71,0.0001,0.01,0.97
3000,2,19.2,0.4,0.0,0.11,0.46
3000,4,22.55,0.6,0.0001,0.01,0.95
3000,6,26.62,0.67,0.0001,0.01,0.96
3000,8,30.84,0.72,0.0001,0.01,0.97
3500,2,19.26,0.5,0.0001,0.11,0.47
3500,4,24.33,0.62,0.0001,0.03,0.86
3500,6,29.71,0.64,0.0001,0.01,0.96
3500,8,35.63,0.7,0.0001,0.01,0.94
4000,2,19.3,0.51,0.0001,0.14,0.29
4000,4,25.44,0.58,0.0001,0.01,0.96
4000,6,31.87,0.65,0.0001,0.01,0.96
4000,8,38.82,0.7,0.0001,0.18,0.1
4500,2,20.08,0.54,0.0001,0.03,0.86
4500,4,28.67,0.57,0.0001,0.01,0.96
4500,6,38.02,0.65,0.0001,0.01,0.97
4500,8,46.49,0.53,0.0001,0.18,0.11
5000,2,17.17,0.31,0.0,0.11,0.46
5000,4,27.76,0.37,0.0,0.01,0.96
5000,6,38.89,0.47,0.0,0.18,0.1
5000,8,49.59,0.55,0.0001,0.18,0.1
5500,2,19.01,0.31,0.0,0.07,0.66
5500,4,33.76,0.36,0.0,0.03,0.86
5500,6,51.11,0.66,0.0001,0.18,0.1
5500,8,65.76,0.72,0.0001,0.18,0.1
6000,2,23.34,0.55,0.0001,0.07,0.66
6000,4,39.04,0.64,0.0001,0.02,0.88
6000,6,55.16,0.65,0.0001,0.0,0.97
6000,8,70.84,0.74,0.0001,0.18,0.1
6500,2,24.61,0.52,0.0001,0.05,0.76
6500,4,43.11,0.59,0.0001,0.02,0.87
6500,6,61.41,0.69,0.0001,0.0,0.97
6500,8,79.34,0.84,0.0001,0.18,0.1
7000,2,25.1,0.7,0.0001,0.08,0.57
7000,4,44.34,0.61,0.0001,0.03,0.86
7000,6,63.65,0.68,0.0001,0.0,0.97
7000,8,81.73,0.89,0.0001,0.18,0.1
7500,2,27.04,0.51,0.0001,0.08,0.58
7500,4,50.93,0.63,0.0001,0.04,0.76
7500,6,74.42,0.8,0.0001,0.18,0.1
7500,8,96.36,1.05,0.0001,0.18,0.1
8000,2,27.53,0.53,0.0001,0.05,0.74
8000,4,51.76,0.64,0.0001,0.01,0.97
8000,6,74.64,0.82,0.0001,0.01,0.96
8000,8,96.77,1.11,0.0001,0.18,0.1
8500,2,30.73,0.56,0.0001,0.08,0.58
8500,4,61.58,0.64,0.0001,0.01,0.96
8500,6,89.97,0.95,0.0001,0.0,0.97
8500,8,119.95,1.24,0.0001,0.18,0.09
9000,2,30.97,0.56,0.0001,0.09,0.56
9000,4,61.56,0.68,0.0001,0.01,0.97
9000,6,90.47,1.02,0.0001,0.18,0.1
9000,8,121.19,1.35,0.0001,0.11,0.28
9500,2,33.79,0.56,0.0001,0.1,0.47
9500,4,70.68,0.76,0.0001,0.18,0.1
9500,6,105.95,1.16,0.0001,0.18,0.1
9500,8,142.5,1.5,0.0001,0.18,0.1
10000,2,34.05,0.53,0.0001,0.03,0.86
10000,4,70.45,0.83,0.0001,0.01,0.93
10000,6,105.85,1.23,0.0001,0.18,0.1
10000,8,142.3,1.61,0.0002,0.18,0.1
