Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.35,3.02,0.0003,0.09,0.11
10,17.66,0.51,0.0001,0.06,0.55
50,18.23,0.42,0.0,0.05,0.72
128,18.57,0.5,0.0,0.08,0.61
256,18.96,0.54,0.0001,0.06,0.72
512,18.97,0.56,0.0001,0.06,0.69
1024,18.58,0.42,0.0,0.08,0.57
1500,18.57,0.5,0.0001,0.05,0.72
2048,19.19,0.5,0.0001,0.13,0.37
2500,19.19,0.5,0.0,0.05,0.75
3000,19.22,0.47,0.0,0.12,0.39
3250,19.07,0.36,0.0,0.08,0.58
3500,17.2,0.52,0.0001,0.05,0.76
3750,19.18,0.53,0.0001,0.05,0.77
4096,19.28,0.5,0.0,0.05,0.75
4500,20.13,0.49,0.0,0.05,0.73
