Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.4,3.05,0.0003,0.08,0.29
10,17.85,0.51,0.0001,0.06,0.49
50,18.46,0.42,0.0,0.09,0.56
128,18.75,0.48,0.0,0.09,0.54
256,19.03,0.5,0.0,0.1,0.49
512,19.11,0.52,0.0001,0.05,0.74
1024,18.82,0.53,0.0001,0.07,0.64
1500,18.77,0.51,0.0001,0.06,0.67
2048,19.32,0.52,0.0001,0.07,0.65
2500,19.3,0.47,0.0,0.06,0.68
3000,19.33,0.39,0.0,0.06,0.67
3250,19.31,0.5,0.0,0.05,0.77
3500,19.32,0.5,0.0,0.09,0.55
3750,19.49,0.54,0.0001,0.05,0.76
4096,19.38,0.49,0.0,0.08,0.58
4500,19.9,0.43,0.0,0.06,0.67
