Neurons,Execution time ,Prediction time, By image
5,18.73,3.06,0.0003
10,18.03,0.51,0.0001
50,18.45,0.48,0.0
128,18.82,0.53,0.0001
256,19.01,0.49,0.0
512,19.23,0.54,0.0001
1024,18.97,0.45,0.0
1500,18.79,0.65,0.0001
2048,19.4,0.45,0.0
2500,19.35,0.54,0.0001
3000,19.5,0.45,0.0
3250,20.03,0.44,0.0
3500,20.42,0.5,0.0001
3750,21.05,0.43,0.0
4096,21.59,0.56,0.0001
4500,22.9,0.47,0.0
