Neurons,Execution time ,Prediction time,By image,Loss,Acc
10000,34.82,3.08,0.0003,0.12,0.38
20000,87.04,0.99,0.0001,0.08,0.57
30000,188.26,1.94,0.0002,0.18,0.1
40000,306.33,3.15,0.0003,0.18,0.1
