Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
5,2,18.46,0.46,0.0,0.09,0.16
5,4,19.69,0.56,0.0001,0.08,0.28
5,6,21.59,0.49,0.0,0.08,0.26
5,8,23.34,0.64,0.0001,0.08,0.24
10,2,17.76,0.49,0.0,0.06,0.44
10,4,19.73,0.45,0.0,0.06,0.49
10,6,21.53,0.57,0.0001,0.06,0.46
10,8,23.32,0.62,0.0001,0.07,0.44
50,2,18.25,0.48,0.0,0.09,0.54
50,4,20.21,0.51,0.0001,0.09,0.52
50,6,22.0,0.61,0.0001,0.05,0.66
50,8,24.0,0.64,0.0001,0.04,0.75
128,2,18.69,0.56,0.0001,0.11,0.47
128,4,21.07,0.5,0.0,0.08,0.61
128,6,22.97,0.61,0.0001,0.03,0.79
128,8,24.88,0.64,0.0001,0.04,0.72
256,2,18.96,0.5,0.0001,0.16,0.19
256,4,21.6,0.57,0.0001,0.14,0.29
256,6,23.61,0.65,0.0001,0.04,0.69
256,8,25.84,0.71,0.0001,0.02,0.83
512,2,19.02,0.55,0.0001,0.12,0.39
512,4,21.42,0.6,0.0001,0.09,0.55
512,6,23.68,0.68,0.0001,0.03,0.81
512,8,26.18,0.71,0.0001,0.02,0.85
1024,2,18.63,0.52,0.0001,0.13,0.35
1024,4,21.17,0.58,0.0001,0.08,0.61
1024,6,22.99,0.68,0.0001,0.02,0.85
1024,8,24.92,0.75,0.0001,0.02,0.86
1500,2,18.71,0.55,0.0001,0.09,0.55
1500,4,21.14,0.72,0.0001,0.06,0.68
1500,6,23.07,0.68,0.0001,0.02,0.86
1500,8,25.04,0.7,0.0001,0.02,0.86
2048,2,19.19,0.51,0.0001,0.11,0.47
2048,4,21.65,0.62,0.0001,0.03,0.83
2048,6,23.8,0.65,0.0001,0.02,0.85
2048,8,26.19,0.72,0.0001,0.02,0.87
2500,2,19.24,0.47,0.0,0.12,0.39
2500,4,21.66,0.56,0.0001,0.08,0.61
2500,6,24.63,0.67,0.0001,0.02,0.86
2500,8,28.04,0.73,0.0001,0.02,0.87
3000,2,19.33,0.54,0.0001,0.14,0.29
3000,4,22.48,0.59,0.0001,0.12,0.38
3000,6,26.78,0.68,0.0001,0.02,0.87
3000,8,30.94,0.71,0.0001,0.02,0.87
3500,2,19.33,0.55,0.0001,0.12,0.38
3500,4,24.28,0.64,0.0001,0.18,0.1
3500,6,29.65,0.67,0.0001,0.02,0.87
3500,8,35.68,0.69,0.0001,0.02,0.86
4000,2,19.24,0.52,0.0001,0.1,0.48
4000,4,25.48,0.64,0.0001,0.08,0.57
4000,6,31.89,0.67,0.0001,0.18,0.1
4000,8,38.85,0.71,0.0001,0.02,0.87
4500,2,20.01,0.52,0.0001,0.11,0.46
4500,4,28.62,0.56,0.0001,0.16,0.2
4500,6,38.02,0.66,0.0001,0.02,0.87
4500,8,47.24,0.7,0.0001,0.02,0.88
5000,2,20.71,0.52,0.0001,0.12,0.38
5000,4,30.86,0.6,0.0001,0.08,0.61
5000,6,41.71,0.7,0.0001,0.18,0.1
5000,8,53.22,0.71,0.0001,0.02,0.87
5500,2,22.63,0.55,0.0001,0.13,0.37
5500,4,36.74,0.63,0.0001,0.16,0.2
5500,6,51.44,0.68,0.0001,0.02,0.87
5500,8,65.97,0.74,0.0001,0.02,0.88
6000,2,23.24,0.54,0.0001,0.18,0.1
6000,4,39.06,0.64,0.0001,0.09,0.52
6000,6,55.14,0.66,0.0001,0.02,0.85
6000,8,70.98,0.74,0.0001,0.02,0.86
6500,2,24.59,0.53,0.0001,0.14,0.28
6500,4,43.16,0.57,0.0001,0.14,0.29
6500,6,61.36,0.67,0.0001,0.18,0.1
6500,8,79.43,0.84,0.0001,0.18,0.1
7000,2,25.12,0.66,0.0001,0.16,0.2
7000,4,44.39,0.64,0.0001,0.18,0.1
7000,6,63.61,0.7,0.0001,0.02,0.87
7000,8,82.03,0.89,0.0001,0.18,0.1
7500,2,27.02,0.49,0.0,0.18,0.1
7500,4,50.97,0.64,0.0001,0.16,0.19
7500,6,74.55,0.78,0.0001,0.1,0.49
7500,8,96.09,1.06,0.0001,0.02,0.88
8000,2,27.55,0.56,0.0001,0.16,0.19
8000,4,51.79,0.62,0.0001,0.12,0.38
8000,6,74.83,0.83,0.0001,0.02,0.88
8000,8,97.12,1.11,0.0001,0.18,0.1
8500,2,30.53,0.55,0.0001,0.18,0.1
8500,4,61.39,0.65,0.0001,0.18,0.1
8500,6,89.78,0.95,0.0001,0.02,0.86
8500,8,119.27,1.24,0.0001,0.02,0.88
9000,2,30.95,0.53,0.0001,0.14,0.29
9000,4,61.63,0.68,0.0001,0.11,0.44
9000,6,90.65,1.02,0.0001,0.18,0.1
9000,8,121.29,1.34,0.0001,0.02,0.87
9500,2,33.77,0.49,0.0,0.14,0.29
9500,4,70.6,0.74,0.0001,0.18,0.1
9500,6,106.31,1.14,0.0001,0.02,0.87
9500,8,142.91,1.5,0.0001,0.18,0.1
10000,2,34.04,0.59,0.0001,0.12,0.38
10000,4,70.45,0.83,0.0001,0.1,0.47
10000,6,106.09,1.22,0.0001,0.18,0.1
10000,8,142.71,1.61,0.0002,0.02,0.87
