Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.53,3.07,0.0003,0.08,0.28
10,17.84,0.48,0.0,0.08,0.31
50,18.54,0.45,0.0,0.12,0.39
128,18.86,0.48,0.0,0.09,0.54
256,19.15,0.55,0.0001,0.05,0.73
512,19.2,0.52,0.0001,0.03,0.84
1024,18.81,0.49,0.0,0.12,0.39
1500,18.85,0.53,0.0001,0.05,0.76
2048,19.42,0.48,0.0,0.05,0.76
2500,19.47,0.53,0.0001,0.05,0.75
3000,19.42,0.44,0.0,0.09,0.56
3250,19.35,0.51,0.0001,0.05,0.77
3500,19.49,0.45,0.0,0.06,0.67
3750,19.52,0.52,0.0001,0.09,0.57
4096,19.53,0.57,0.0001,0.07,0.65
4500,20.19,0.56,0.0001,0.14,0.31
