Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.24,0.47,0.0,0.09,0.1
5,4,20.51,0.62,0.0001,0.09,0.13
5,6,22.37,0.63,0.0001,0.09,0.13
5,8,23.98,0.69,0.0001,0.09,0.14
10,2,18.36,0.48,0.0,0.09,0.17
10,4,20.52,0.49,0.0,0.09,0.13
10,6,22.32,0.67,0.0001,0.09,0.06
10,8,24.15,0.68,0.0001,0.09,0.11
50,2,19.03,0.46,0.0,0.08,0.29
50,4,20.99,0.56,0.0001,0.09,0.23
50,6,22.81,0.64,0.0001,0.09,0.2
50,8,24.77,0.67,0.0001,0.09,0.15
128,2,19.41,0.59,0.0001,0.08,0.54
128,4,21.64,0.61,0.0001,0.09,0.31
128,6,23.64,0.6,0.0001,0.09,0.26
128,8,25.55,0.68,0.0001,0.09,0.2
256,2,19.6,0.56,0.0001,0.07,0.65
256,4,22.39,0.66,0.0001,0.09,0.42
256,6,24.37,0.68,0.0001,0.09,0.27
256,8,26.46,0.75,0.0001,0.09,0.19
512,2,19.71,0.59,0.0001,0.06,0.65
512,4,22.13,0.67,0.0001,0.08,0.48
512,6,24.33,0.7,0.0001,0.09,0.33
512,8,26.85,0.75,0.0001,0.09,0.33
1024,2,19.48,0.53,0.0001,0.05,0.73
1024,4,21.67,0.59,0.0001,0.08,0.58
1024,6,23.67,0.7,0.0001,0.09,0.39
1024,8,25.61,0.75,0.0001,0.09,0.47
1500,2,19.4,0.56,0.0001,0.05,0.77
1500,4,21.66,0.77,0.0001,0.07,0.66
1500,6,23.73,0.73,0.0001,0.09,0.31
1500,8,25.66,0.79,0.0001,0.09,0.3
2048,2,19.95,0.54,0.0001,0.05,0.78
2048,4,22.27,0.63,0.0001,0.07,0.61
2048,6,24.49,0.72,0.0001,0.09,0.55
2048,8,26.6,0.91,0.0001,0.09,0.41
2500,2,19.96,0.57,0.0001,0.04,0.8
2500,4,22.42,0.58,0.0001,0.07,0.63
2500,6,25.32,0.7,0.0001,0.09,0.43
2500,8,28.74,0.76,0.0001,0.09,0.41
3000,2,19.9,0.52,0.0001,0.05,0.77
3000,4,23.26,0.64,0.0001,0.06,0.69
3000,6,27.63,0.7,0.0001,0.09,0.39
3000,8,31.57,0.76,0.0001,0.09,0.49
3500,2,19.92,0.49,0.0,0.04,0.79
3500,4,24.99,0.66,0.0001,0.07,0.66
3500,6,30.33,0.68,0.0001,0.09,0.41
3500,8,36.3,0.76,0.0001,0.09,0.44
4000,2,20.13,0.57,0.0001,0.04,0.79
4000,4,26.18,0.62,0.0001,0.07,0.64
4000,6,32.43,0.71,0.0001,0.09,0.49
4000,8,39.4,0.76,0.0001,0.09,0.3
4500,2,20.74,0.57,0.0001,0.04,0.8
4500,4,29.31,0.59,0.0001,0.06,0.68
4500,6,38.73,0.67,0.0001,0.09,0.46
4500,8,47.83,0.74,0.0001,0.09,0.37
5000,2,21.29,0.53,0.0001,0.04,0.79
5000,4,31.51,0.64,0.0001,0.06,0.67
5000,6,42.32,0.7,0.0001,0.09,0.4
5000,8,53.72,0.77,0.0001,0.09,0.44
5500,2,23.37,0.53,0.0001,0.04,0.8
5500,4,37.34,0.65,0.0001,0.06,0.71
5500,6,51.97,0.71,0.0001,0.09,0.55
5500,8,66.47,0.77,0.0001,0.09,0.53
6000,2,23.97,0.58,0.0001,0.04,0.79
6000,4,39.76,0.64,0.0001,0.06,0.69
6000,6,55.53,0.9,0.0001,0.08,0.4
6000,8,71.36,0.76,0.0001,0.09,0.51
6500,2,25.3,0.6,0.0001,0.04,0.79
6500,4,43.71,0.56,0.0001,0.06,0.71
6500,6,61.96,0.71,0.0001,0.08,0.41
6500,8,80.13,0.82,0.0001,0.09,0.55
7000,2,25.76,0.54,0.0001,0.04,0.79
7000,4,45.04,0.67,0.0001,0.06,0.68
7000,6,64.33,0.73,0.0001,0.08,0.38
7000,8,82.3,0.92,0.0001,0.09,0.56
7500,2,27.79,0.54,0.0001,0.04,0.79
7500,4,51.83,0.67,0.0001,0.06,0.69
7500,6,75.09,0.79,0.0001,0.08,0.46
7500,8,97.11,1.04,0.0001,0.09,0.34
8000,2,28.27,0.57,0.0001,0.04,0.8
8000,4,52.58,0.68,0.0001,0.06,0.72
8000,6,75.48,0.84,0.0001,0.08,0.45
8000,8,97.9,1.1,0.0001,0.09,0.56
8500,2,31.22,0.59,0.0001,0.04,0.8
8500,4,62.22,0.69,0.0001,0.06,0.71
8500,6,90.65,0.97,0.0001,0.08,0.37
8500,8,120.45,1.24,0.0001,0.09,0.46
9000,2,31.63,0.57,0.0001,0.04,0.8
9000,4,62.18,0.69,0.0001,0.06,0.71
9000,6,91.38,1.02,0.0001,0.08,0.48
9000,8,122.05,1.34,0.0001,0.09,0.3
9500,2,34.44,0.58,0.0001,0.04,0.8
9500,4,71.49,0.76,0.0001,0.06,0.69
9500,6,106.76,1.13,0.0001,0.08,0.47
9500,8,143.63,1.51,0.0002,0.09,0.53
10000,2,41.32,0.61,0.0001,0.04,0.8
10000,4,71.35,0.8,0.0001,0.06,0.71
10000,6,106.42,1.23,0.0001,0.08,0.42
10000,8,143.03,1.61,0.0002,0.09,0.37
