Neurons,Execution time ,Prediction time, By image
5,57.92,3.58,0.0004
10,57.75,0.88,0.0001
50,57.81,0.89,0.0001
128,57.47,0.89,0.0001
256,57.78,0.88,0.0001
512,57.83,0.89,0.0001
1024,58.26,0.9,0.0001
1500,58.75,0.89,0.0001
2048,59.6,0.91,0.0001
2500,60.91,1.05,0.0001
3000,61.48,0.9,0.0001
3250,62.35,0.92,0.0001
3500,62.61,0.91,0.0001
3750,63.48,0.93,0.0001
4096,64.01,0.93,0.0001
4500,65.39,0.93,0.0001
