Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.29,3.05,0.0003,0.07,0.29
10,17.65,0.42,0.0,0.05,0.59
50,18.12,0.36,0.0,0.09,0.57
128,18.78,0.44,0.0,0.07,0.64
256,18.79,0.43,0.0,0.06,0.7
512,18.87,0.5,0.0,0.07,0.66
1024,18.52,0.55,0.0001,0.05,0.74
1500,18.6,0.54,0.0001,0.07,0.66
2048,19.16,0.47,0.0,0.06,0.67
2500,19.09,0.38,0.0,0.06,0.68
3000,19.05,0.49,0.0,0.09,0.56
3250,19.12,0.49,0.0,0.07,0.66
3500,19.23,0.52,0.0001,0.03,0.86
3750,19.1,0.51,0.0001,0.05,0.76
4096,19.25,0.53,0.0001,0.1,0.48
4500,19.96,0.53,0.0001,0.03,0.85
