Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.37,3.0,0.0003,0.07,0.36
10,17.75,0.43,0.0,0.05,0.62
50,18.36,0.49,0.0,0.06,0.69
128,18.72,0.43,0.0,0.02,0.9
256,18.92,0.45,0.0,0.04,0.82
512,18.99,0.54,0.0001,0.08,0.58
1024,18.7,0.53,0.0001,0.07,0.64
1500,18.66,0.49,0.0,0.07,0.65
2048,18.92,0.49,0.0,0.03,0.85
2500,19.25,0.51,0.0001,0.07,0.63
3000,19.27,0.52,0.0001,0.03,0.85
3250,19.29,0.49,0.0,0.08,0.58
3500,19.27,0.48,0.0,0.03,0.86
3750,19.35,0.51,0.0001,0.03,0.84
4096,19.38,0.48,0.0,0.08,0.58
4500,20.04,0.47,0.0,0.08,0.57
