Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,19.12,0.57,0.0001,0.09,0.24
5,4,20.3,0.58,0.0001,0.09,0.13
5,6,22.13,0.64,0.0001,0.09,0.11
5,8,23.97,0.67,0.0001,0.09,0.11
10,2,18.37,0.53,0.0001,0.08,0.21
10,4,20.36,0.58,0.0001,0.09,0.15
10,6,22.1,0.66,0.0001,0.09,0.15
10,8,23.95,0.69,0.0001,0.09,0.11
50,2,18.89,0.5,0.0001,0.08,0.43
50,4,20.71,0.59,0.0001,0.09,0.24
50,6,22.56,0.56,0.0001,0.09,0.14
50,8,24.55,0.68,0.0001,0.09,0.22
128,2,19.25,0.56,0.0001,0.07,0.56
128,4,21.43,0.53,0.0001,0.09,0.4
128,6,23.45,0.69,0.0001,0.09,0.22
128,8,25.31,0.68,0.0001,0.09,0.18
256,2,19.5,0.52,0.0001,0.06,0.61
256,4,22.18,0.61,0.0001,0.09,0.26
256,6,24.15,0.68,0.0001,0.09,0.26
256,8,26.33,0.75,0.0001,0.09,0.25
512,2,19.57,0.58,0.0001,0.06,0.73
512,4,21.99,0.64,0.0001,0.08,0.51
512,6,24.13,0.69,0.0001,0.09,0.31
512,8,26.6,0.75,0.0001,0.09,0.21
1024,2,19.29,0.55,0.0001,0.05,0.76
1024,4,21.48,0.59,0.0001,0.07,0.61
1024,6,23.43,0.68,0.0001,0.09,0.34
1024,8,25.32,0.73,0.0001,0.09,0.38
1500,2,19.27,0.61,0.0001,0.05,0.77
1500,4,21.46,0.83,0.0001,0.07,0.56
1500,6,23.48,0.68,0.0001,0.09,0.43
1500,8,25.42,0.75,0.0001,0.09,0.34
2048,2,19.77,0.6,0.0001,0.05,0.78
2048,4,22.16,0.66,0.0001,0.07,0.65
2048,6,24.36,0.7,0.0001,0.09,0.42
2048,8,26.46,0.93,0.0001,0.09,0.45
2500,2,19.83,0.54,0.0001,0.05,0.78
2500,4,22.21,0.6,0.0001,0.07,0.62
2500,6,25.28,0.7,0.0001,0.09,0.48
2500,8,28.66,0.74,0.0001,0.09,0.31
3000,2,19.82,0.56,0.0001,0.04,0.79
3000,4,23.28,0.61,0.0001,0.06,0.68
3000,6,27.56,0.7,0.0001,0.09,0.49
3000,8,31.51,0.77,0.0001,0.09,0.49
3500,2,19.8,0.58,0.0001,0.04,0.78
3500,4,24.97,0.61,0.0001,0.06,0.64
3500,6,30.3,0.72,0.0001,0.09,0.41
3500,8,36.34,0.76,0.0001,0.09,0.39
4000,2,20.05,0.59,0.0001,0.04,0.8
4000,4,26.11,0.67,0.0001,0.06,0.7
4000,6,32.43,0.68,0.0001,0.09,0.42
4000,8,39.44,0.74,0.0001,0.09,0.52
4500,2,20.67,0.44,0.0,0.04,0.79
4500,4,29.24,0.61,0.0001,0.06,0.69
4500,6,38.72,0.71,0.0001,0.09,0.54
4500,8,47.85,0.78,0.0001,0.09,0.41
5000,2,21.31,0.49,0.0,0.04,0.8
5000,4,31.46,0.62,0.0001,0.06,0.7
5000,6,42.3,0.73,0.0001,0.09,0.46
5000,8,53.82,0.74,0.0001,0.09,0.39
5500,2,23.36,0.55,0.0001,0.04,0.79
5500,4,37.38,0.65,0.0001,0.06,0.67
5500,6,51.95,0.7,0.0001,0.09,0.45
5500,8,66.55,0.75,0.0001,0.09,0.23
6000,2,23.91,0.6,0.0001,0.04,0.8
6000,4,39.69,0.65,0.0001,0.06,0.7
6000,6,55.58,0.88,0.0001,0.08,0.44
6000,8,71.32,0.77,0.0001,0.09,0.43
6500,2,25.38,0.62,0.0001,0.04,0.82
6500,4,43.81,0.63,0.0001,0.06,0.7
6500,6,62.09,0.71,0.0001,0.08,0.44
6500,8,80.13,0.81,0.0001,0.09,0.49
7000,2,25.68,0.49,0.0,0.04,0.8
7000,4,45.1,0.63,0.0001,0.06,0.69
7000,6,64.34,0.72,0.0001,0.08,0.49
7000,8,82.4,0.92,0.0001,0.09,0.44
7500,2,27.71,0.57,0.0001,0.04,0.8
7500,4,51.67,0.67,0.0001,0.06,0.7
7500,6,75.27,0.79,0.0001,0.09,0.57
7500,8,97.31,1.04,0.0001,0.09,0.46
8000,2,28.21,0.58,0.0001,0.04,0.81
8000,4,52.5,0.69,0.0001,0.06,0.71
8000,6,75.56,0.83,0.0001,0.08,0.41
8000,8,97.76,1.1,0.0001,0.09,0.39
8500,2,31.17,0.55,0.0001,0.04,0.79
8500,4,62.11,0.68,0.0001,0.06,0.7
8500,6,91.08,0.95,0.0001,0.08,0.46
8500,8,120.49,1.24,0.0001,0.09,0.48
9000,2,31.67,0.59,0.0001,0.04,0.81
9000,4,62.2,0.71,0.0001,0.06,0.69
9000,6,91.38,1.02,0.0001,0.08,0.46
9000,8,121.98,1.31,0.0001,0.09,0.47
9500,2,34.43,0.6,0.0001,0.04,0.82
9500,4,71.57,0.77,0.0001,0.06,0.72
9500,6,106.28,1.13,0.0001,0.08,0.44
9500,8,143.31,1.49,0.0001,0.09,0.56
10000,2,34.77,0.51,0.0001,0.04,0.81
10000,4,71.07,0.8,0.0001,0.06,0.72
10000,6,106.82,1.21,0.0001,0.08,0.42
10000,8,143.45,1.6,0.0002,0.09,0.34
