./cifar100_tflite_models/CNN_cifar100_model.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant16.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant8.tflite,./cifar100_tflite_models/FFNN_cifar100_model.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant16.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant8.tflite,cnn,ffnn
1.13,1.06,1.3,9.72,8.89,3.0,8.02,20.8,0.75,1.84
1.23,1.09,1.25,9.71,9.36,4.0,7.48,20.82,0.62,1.69
1.24,1.07,1.86,9.26,9.97,3.59,8.35,20.73,0.58,1.57
1.13,1.11,1.26,10.98,8.92,2.89,8.24,20.77,0.59,1.65
1.12,1.5,1.32,9.39,9.14,2.7,9.33,21.5,0.75,1.72
