./cifar100_tflite_models/CNN_cifar100_model.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant16.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant8.tflite,./cifar100_tflite_models/FFNN_cifar100_model.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant16.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant8.tflite,cnn,ffnn
6.42,3.51,6.54,6.54,70.24,20.43,71.54,44.53,7.5,17.7
6.81,3.5,6.78,6.46,70.26,20.37,73.81,44.57,6.44,16.4
6.64,3.5,6.49,6.46,70.24,20.49,73.51,44.55,6.27,16.54
6.48,3.53,6.56,6.44,70.28,20.42,74.11,44.49,7.39,16.42
6.66,3.51,6.43,6.65,70.29,19.67,74.68,44.59,6.38,16.49
