./cifar10_tflite_models/CNN_cifar10_model.tflite,./cifar10_tflite_models/CNN_cifar10_model_quant.tflite,./cifar10_tflite_models/CNN_cifar10_model_quant16.tflite,./cifar10_tflite_models/CNN_cifar10_model_quant8.tflite,./cifar10_tflite_models/FFNN_cifar10_model.tflite,./cifar10_tflite_models/FFNN_cifar10_model_quant.tflite,./cifar10_tflite_models/FFNN_cifar10_model_quant16.tflite,./cifar10_tflite_models/FFNN_cifar10_model_quant8.tflite,cnn,ffnn
6.52,3.58,6.6,6.55,70.63,20.59,73.8,44.47,7.27,17.25
6.69,3.56,6.57,6.56,70.66,20.56,76.49,44.33,6.38,16.51
6.52,3.58,6.48,6.61,70.01,20.56,76.75,44.4,6.36,16.47
6.42,3.58,6.62,6.54,70.03,20.59,76.92,44.25,6.85,16.53
6.66,3.58,6.55,6.59,70.0,19.62,77.28,44.24,6.37,16.41
