./mnist_tflite_models/CNN_mnist_model.tflite,./mnist_tflite_models/CNN_mnist_model_quant.tflite,./mnist_tflite_models/CNN_mnist_model_quant16.tflite,./mnist_tflite_models/CNN_mnist_model_quant8.tflite,./mnist_tflite_models/FFNN_mnist_model.tflite,./mnist_tflite_models/FFNN_mnist_model_quant.tflite,./mnist_tflite_models/FFNN_mnist_model_quant16.tflite,./mnist_tflite_models/FFNN_mnist_model_quant8.tflite,cnn,ffnn
4.68,4.62,4.65,3.26,0.93,1.07,0.94,1.4,3.9,1.8
4.64,4.73,4.66,3.25,0.93,1.08,0.93,1.4,3.33,1.19
4.63,4.63,4.64,3.26,0.93,1.08,0.93,1.4,3.35,1.22
4.65,4.63,4.65,3.26,0.93,1.07,0.94,1.4,3.37,1.23
4.69,4.63,4.64,3.25,0.93,1.08,0.94,1.4,3.36,1.18
