./stl10_tflite_models/CNN_stl10_model.tflite,./stl10_tflite_models/CNN_stl10_model_quant.tflite,./stl10_tflite_models/CNN_stl10_model_quant16.tflite,./stl10_tflite_models/CNN_stl10_model_quant8.tflite,./stl10_tflite_models/FFNN_stl10_model.tflite,./stl10_tflite_models/FFNN_stl10_model_quant.tflite,./stl10_tflite_models/FFNN_stl10_model_quant16.tflite,./stl10_tflite_models/FFNN_stl10_model_quant8.tflite,cnn,ffnn
2.33,2.34,2.69,35.77,5.54,4.93,5.95,46.77,1.69,2.5
2.39,2.34,2.55,36.41,5.85,4.58,5.63,46.43,1.49,2.51
