./stl10_tflite_models/CNN_stl10_model.tflite,./stl10_tflite_models/CNN_stl10_model_quant.tflite,./stl10_tflite_models/CNN_stl10_model_quant16.tflite,./stl10_tflite_models/CNN_stl10_model_quant8.tflite,./stl10_tflite_models/FFNN_stl10_model.tflite,./stl10_tflite_models/FFNN_stl10_model_quant.tflite,./stl10_tflite_models/FFNN_stl10_model_quant16.tflite,./stl10_tflite_models/FFNN_stl10_model_quant8.tflite,cnn,ffnn
4.43,6.38,4.96,72.81,12.08,7.49,11.75,90.87,3.07,4.64
4.47,5.62,4.73,68.86,11.58,7.75,11.79,96.31,2.69,4.57
5.04,5.1,5.18,70.36,10.91,7.7,12.4,95.43,2.9,4.22
