./cifar10_tflite_models/CNN_cifar10_model.tflite,./cifar10_tflite_models/CNN_cifar10_model_quant.tflite,./cifar10_tflite_models/CNN_cifar10_model_quant16.tflite,./cifar10_tflite_models/CNN_cifar10_model_quant8.tflite,./cifar10_tflite_models/FFNN_cifar10_model.tflite,./cifar10_tflite_models/FFNN_cifar10_model_quant.tflite,./cifar10_tflite_models/FFNN_cifar10_model_quant16.tflite,./cifar10_tflite_models/FFNN_cifar10_model_quant8.tflite,cnn,ffnn
1.1,1.47,0.97,9.26,0.98,1.01,0.88,13.45,0.79,1.18
1.08,1.3,1.1,9.94,0.96,1.0,0.88,13.59,0.7,0.94
0.96,1.13,1.16,9.68,0.91,1.01,0.91,14.34,0.74,0.91
0.96,0.98,1.08,9.03,0.95,0.99,0.98,14.25,0.72,0.85
1.07,0.98,1.21,9.24,0.97,1.0,0.92,13.8,0.74,1.03
