./cifar100_tflite_models/CNN_cifar100_model.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant16.tflite,./cifar100_tflite_models/CNN_cifar100_model_quant8.tflite,./cifar100_tflite_models/FFNN_cifar100_model.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant16.tflite,./cifar100_tflite_models/FFNN_cifar100_model_quant8.tflite,cnn,ffnn
1.24,1.17,1.28,10.89,9.88,2.93,9.66,20.85,0.8,1.87
1.22,1.19,1.35,10.89,9.5,3.03,9.27,20.83,0.74,1.85
1.23,1.17,1.61,10.71,9.49,2.93,8.02,22.54,0.77,1.9
