./mnist_tflite_models/CNN_mnist_model.tflite,./mnist_tflite_models/CNN_mnist_model_quant.tflite,./mnist_tflite_models/CNN_mnist_model_quant16.tflite,./mnist_tflite_models/CNN_mnist_model_quant8.tflite,./mnist_tflite_models/FFNN_mnist_model.tflite,./mnist_tflite_models/FFNN_mnist_model_quant.tflite,./mnist_tflite_models/FFNN_mnist_model_quant16.tflite,./mnist_tflite_models/FFNN_mnist_model_quant8.tflite,cnn,ffnn
0.75,0.76,0.78,3.46,0.68,0.74,0.65,8.88,0.57,0.85
0.76,0.76,0.8,3.59,0.64,0.81,0.66,9.27,0.41,0.78
0.75,0.82,0.8,3.26,0.7,0.75,0.79,8.69,0.33,0.75
0.76,0.91,0.81,3.32,0.75,0.77,0.62,8.77,0.38,0.76
