./mnist_tflite_models/CNN_mnist_model.tflite,./mnist_tflite_models/CNN_mnist_model_quant.tflite,./mnist_tflite_models/CNN_mnist_model_quant16.tflite,./mnist_tflite_models/CNN_mnist_model_quant8.tflite,./mnist_tflite_models/FFNN_mnist_model.tflite,./mnist_tflite_models/FFNN_mnist_model_quant.tflite,./mnist_tflite_models/FFNN_mnist_model_quant16.tflite,./mnist_tflite_models/FFNN_mnist_model_quant8.tflite,cnn,ffnn
4.65,4.64,4.66,3.25,8.98,5.65,9.37,13.58,3.93,7.94
4.64,4.64,4.77,3.27,8.96,5.65,9.43,13.56,3.37,7.08
4.63,4.65,4.65,3.25,8.98,5.64,9.45,13.54,3.25,7.25
4.64,4.64,4.66,3.25,9.1,5.65,9.56,13.55,3.23,7.03
4.63,4.64,4.66,3.25,8.98,5.65,9.51,13.53,3.34,7.07
