./cifar_tflite_models/CNN_cifar_model.tflite,./cifar_tflite_models/CNN_cifar_model_quant.tflite,./cifar_tflite_models/CNN_cifar_model_quant16.tflite,./cifar_tflite_models/CNN_cifar_model_quant8.tflite,./cifar_tflite_models/FFNN_cifar_model.tflite,./cifar_tflite_models/FFNN_cifar_model_quant.tflite,./cifar_tflite_models/FFNN_cifar_model_quant16.tflite,./cifar_tflite_models/FFNN_cifar_model_quant8.tflite,cnn,ffnn
1.6,1.43,1.62,13.1,15.35,5.03,10.87,27.99,1.14,1.91
1.61,1.47,1.78,14.85,12.33,4.7,10.88,26.88,0.83,1.72
1.54,1.55,1.55,13.58,12.54,4.49,13.02,26.28,0.81,1.76
1.73,1.59,1.53,13.28,10.91,4.42,13.25,26.52,0.81,1.72
1.75,1.52,1.49,13.04,11.85,4.36,13.5,24.94,0.84,1.74
