./mnist_tflite_models/CNN_mnist_model.tflite,./mnist_tflite_models/CNN_mnist_model_quant.tflite,./mnist_tflite_models/CNN_mnist_model_quant16.tflite,./mnist_tflite_models/CNN_mnist_model_quant8.tflite,./mnist_tflite_models/FFNN_mnist_model.tflite,./mnist_tflite_models/FFNN_mnist_model_quant.tflite,./mnist_tflite_models/FFNN_mnist_model_quant16.tflite,./mnist_tflite_models/FFNN_mnist_model_quant8.tflite,cnn,ffnn
0.76,0.82,0.93,3.14,0.17,0.23,0.16,1.19,0.55,0.24
0.76,0.88,0.8,3.16,0.17,0.21,0.16,1.2,0.32,0.15
0.76,0.88,0.8,3.11,0.16,0.21,0.16,1.2,0.37,0.14
0.77,0.82,0.76,3.14,0.16,0.21,0.16,1.2,0.35,0.15
0.75,0.85,0.76,3.63,0.16,0.21,0.17,1.22,0.38,0.16
