Neurons,Execution time ,Prediction time,By image,Loss,Acc
10000,34.77,3.13,0.0003,0.12,0.39
20000,86.97,0.99,0.0001,0.08,0.59
30000,188.27,1.93,0.0002,0.1,0.49
40000,307.52,3.16,0.0003,0.13,0.36
