Neurons,Execution time ,Prediction time,By image,Loss,Acc
10000,34.71,3.01,0.0003,0.07,0.65
20000,86.98,0.99,0.0001,0.18,0.1
30000,188.58,1.93,0.0002,0.11,0.47
40000,305.39,3.16,0.0003,0.08,0.57
