,ffnn10_2.h5_mn,ffnn10_3.h5_mn,ffnn5_2.h5_mni,ffnn5_3.h5_mni
Total Inf,0.22,0.21,0.22,0.22
Inf / Img,0.0,0.0,0.0,0.0
